,ADF_statistic,ADF_p_value,KPSS_statistic,KPSS_p_value,is_stationary
ADAUSDT,-31.255990249430855,0.0,0.06070354812574745,0.1,True
BNBUSDT,-30.007354993630145,0.0,0.020217989809300722,0.1,True
BTCUSDT,-33.06932918724655,0.0,0.08519685737001584,0.1,True
DOGEUSDT,-30.114544133722646,0.0,0.05460769138284274,0.1,True
ETHUSDT,-28.15796321295354,0.0,0.1449860664099761,0.1,True
XRPUSDT,-30.481696071275433,0.0,0.023676070711865362,0.1,True
