,zscore_count,zscore_percentage,iqr_count,iqr_percentage,mad_count,mad_percentage
ADAUSDT,540,1.2096774193548387,2084,4.668458781362007,4276,9.578853046594983
BNBUSDT,545,1.2208781362007168,3800,8.512544802867383,6881,15.414426523297491
BTCUSDT,564,1.2634408602150538,2952,6.612903225806452,5534,12.396953405017921
DOGEUSDT,511,1.1447132616487454,2374,5.318100358422939,4441,9.94847670250896
ETHUSDT,612,1.370967741935484,2698,6.043906810035842,5114,11.456093189964157
XRPUSDT,457,1.0237455197132617,2974,6.662186379928316,5313,11.901881720430108
