,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,4.941816262251716,"[np.float64(5.561777887450764e-23), np.float64(0.00108769779322482), np.float64(0.6295629027279216), np.float64(0.7491017612825237), np.float64(0.5858111295423913), np.float64(0.010353741741924999), np.float64(1.92420516754546e-06), np.float64(0.9911809654190394), np.float64(0.5148909627129091), np.float64(0.9108127231737336), np.float64(0.03149456995402633), np.float64(0.05315722369981724), np.float64(0.001241561900977702), np.float64(0.25697981398850767), np.float64(0.13520627178922054), np.float64(0.4406785439775812), np.float64(0.6501672427109788), np.float64(0.3155220083704612), np.float64(0.0598969184232529), np.float64(0.08086681995098924), np.float64(0.008703375317581167), np.float64(0.006721776508041777), np.float64(0.16788868878611063), np.float64(0.034985392395511884), np.float64(0.9591399054244568), np.float64(0.9196245560010547), np.float64(0.6699601134899296), np.float64(0.01733729431333507), np.float64(0.7603385871979053), np.float64(0.04516453133537957), np.float64(0.1272987064202194), np.float64(0.39299106028881536), np.float64(0.599631818844322), np.float64(0.888848491189618), np.float64(0.034686082172745394), np.float64(0.268423644852802), np.float64(0.015057288192648982), np.float64(0.403851223433079), np.float64(0.7747071144958293), np.float64(0.25352339159636617), np.float64(0.018686805408521693), np.float64(0.13334334700900252), np.float64(0.15147169208748074), np.float64(0.211100719277991), np.float64(0.09224035968126026), np.float64(0.617215446580309), np.float64(0.29585926448293276), np.float64(0.4045655762338394), np.float64(0.6204394097708893), np.float64(0.41270987913163726), np.float64(0.0836325202476197), np.float64(0.12378977397751537), np.float64(0.030892752470611073), np.float64(0.048383375591952923), np.float64(0.9686702371075923), np.float64(0.792962364978719), np.float64(0.09514966397974912), np.float64(0.15634717296495573), np.float64(0.49384925333535656), np.float64(0.7657968631094163), np.float64(0.003980653964029924), np.float64(0.17192450384029523), np.float64(0.8102578071230637), np.float64(0.7243918850572404), np.float64(0.8184732401136495), np.float64(0.29283959902108025), np.float64(0.3551995131864285), np.float64(0.00014533636331443082), np.float64(0.6547227651358987), np.float64(0.0012199599937496317), np.float64(0.5525061138456209), np.float64(0.39492225335115716), np.float64(0.004145745443771209), np.float64(0.019964362673865827), np.float64(0.0027885970843113676), np.float64(0.43551647381725267), np.float64(0.0011285413088996533), np.float64(0.3135779179699819), np.float64(2.0166439544748247e-08), np.float64(0.687677213413382), np.float64(0.26414680744613916)]",81
BNBUSDT,1.835127717012537,"[np.float64(0.001037772156361131), np.float64(0.37816105958395074), np.float64(0.7526219614647626), np.float64(0.5861834184885418), np.float64(0.0008628230178912223), np.float64(0.2978792417185009), np.float64(0.3992183260443123), np.float64(0.4236382554586835), np.float64(0.250840431212352), np.float64(0.7027905384500328), np.float64(0.6849149470077285), np.float64(0.11004027953063261), np.float64(0.623735691715054), np.float64(0.7355588611624628), np.float64(0.8125545240047056), np.float64(0.001547553475102303), np.float64(0.7504441040709016), np.float64(0.9071150446251425), np.float64(0.7237724207731081), np.float64(0.1488604681018201), np.float64(0.3807637768085991), np.float64(0.16243020195787394), np.float64(0.06982983137959191), np.float64(0.45219910046412104), np.float64(0.012821556347221368), np.float64(0.8022721614699604), np.float64(0.4589130494967444), np.float64(0.18628965353154725), np.float64(0.7582248279705561), np.float64(0.6837614385956321), np.float64(0.38453385447166144), np.float64(0.8861188690585974), np.float64(0.1844083304729366), np.float64(0.5703756731271048), np.float64(0.06547037063574221), np.float64(0.09811119699674528), np.float64(0.08513095752196675), np.float64(0.2009813231849198), np.float64(0.8803397140604075), np.float64(0.1500045424733576), np.float64(0.0486142397803072), np.float64(0.584498700217271), np.float64(0.36750645812836147), np.float64(0.009531064347655337), np.float64(0.576521854383074), np.float64(0.32273363063407345), np.float64(0.12567422440569387), np.float64(0.6779333487069673), np.float64(0.8659334147038449), np.float64(0.06315597701508283), np.float64(0.06941548050656826), np.float64(0.6349169881697706), np.float64(0.8034230374999429), np.float64(0.12945267294205481), np.float64(0.15092466984235803), np.float64(0.7837653295931302), np.float64(0.6259625747626474), np.float64(0.1345370787358767), np.float64(0.021811740538611315), np.float64(0.1922894160582963), np.float64(0.39832025064904386), np.float64(0.45928592563788107), np.float64(0.17019696777757987), np.float64(0.24967876879478734), np.float64(0.032874672919301955), np.float64(0.709574594998488), np.float64(0.3936610598824206), np.float64(0.49093115522195296), np.float64(0.3852724381862487), np.float64(0.9438092048901477), np.float64(0.6926515055644016), np.float64(0.1981203636761476), np.float64(0.3352939787298671), np.float64(0.2226382111464742), np.float64(0.044758820205051786), np.float64(0.3752244861388603), np.float64(0.8533113625074727), np.float64(0.05997300778476287), np.float64(0.020858130148556957), np.float64(0.08806233626337583), np.float64(0.0004956580986380544)]",81
BTCUSDT,1.9123525658509688,"[np.float64(0.9474600752598266), np.float64(0.6588474587468864), np.float64(0.14693929899615465), np.float64(0.26786443359305256), np.float64(0.051699284425320916), np.float64(0.10617544498557835), np.float64(0.2832246707714917), np.float64(0.20635292219357015), np.float64(0.43592551265204416), np.float64(0.17103836712083753), np.float64(0.9464508509015891), np.float64(0.7816769801554087), np.float64(0.005744414273927314), np.float64(0.25944288952603634), np.float64(0.01045956089078862), np.float64(0.7148267032464044), np.float64(0.1910221378038467), np.float64(0.09756620254712825), np.float64(0.8500284299669839), np.float64(0.840230164629975), np.float64(0.9206070443240927), np.float64(0.03967414260686137), np.float64(0.06742774617764744), np.float64(0.30114634675661234), np.float64(3.567819463921183e-05), np.float64(0.7671973414295935), np.float64(0.06195120709869697), np.float64(0.2662990618697124), np.float64(0.4922533938208401), np.float64(0.0567716499961042), np.float64(0.9797363717468114), np.float64(0.778357733129605), np.float64(0.9924270537950309), np.float64(0.7177025874777158), np.float64(0.7467261083954122), np.float64(0.3861676802951097), np.float64(0.759241046499603), np.float64(0.11065481768252745), np.float64(0.5484946391981818), np.float64(0.43485562642808284), np.float64(0.20228310456819631), np.float64(0.4590537321539583), np.float64(0.23417391051670822), np.float64(0.8423517474664933), np.float64(0.8917341792153796), np.float64(0.6688709461219732), np.float64(0.09326350686781028), np.float64(0.2413726521356333), np.float64(0.9523524742685177), np.float64(0.4483310911727644), np.float64(0.7295427636526569), np.float64(0.15157002668352154), np.float64(0.44567254634991915), np.float64(0.006487590038557702), np.float64(0.12582306830456785), np.float64(0.6002317634342884), np.float64(0.06546279148251256), np.float64(0.13147279307549692), np.float64(0.8365600085934708), np.float64(0.31577524955684133), np.float64(0.3923886948603672), np.float64(0.4959139245472689), np.float64(0.15163309475024955), np.float64(0.0774924264624199), np.float64(0.12855347020530583), np.float64(0.19891326165346646), np.float64(0.03365057895960138), np.float64(0.7616759935026378), np.float64(0.8181077016851843), np.float64(0.15634003080292808), np.float64(0.2559851369138456), np.float64(0.9240327345847197), np.float64(0.5000193547885536), np.float64(0.8402022934928911), np.float64(0.5359561660232581), np.float64(0.07704861997170102), np.float64(0.33197200657243253), np.float64(0.9816581449039924), np.float64(0.08377336241372853), np.float64(9.407543299807866e-05), np.float64(0.0006606999157144281)]",81
DOGEUSDT,2.0401741801881568,"[np.float64(0.0007063404801533429), np.float64(0.2874377085916058), np.float64(0.9325100123011717), np.float64(0.7417944612035998), np.float64(4.9704488725458144e-05), np.float64(0.34403522438693035), np.float64(0.7292096109178563), np.float64(0.31491008340640403), np.float64(0.0912467507250747), np.float64(0.06771229395840735), np.float64(0.5337312524524604), np.float64(0.4801324824475105), np.float64(0.7449235480465162), np.float64(0.0803278218405387), np.float64(0.43904496617889976), np.float64(0.04270020107179203), np.float64(0.41346650237064264), np.float64(0.32383544907428985), np.float64(0.10726552401450411), np.float64(0.08796708263200625), np.float64(0.9987461597221297), np.float64(0.008033860325886662), np.float64(0.5292592751956525), np.float64(0.07577387801274935), np.float64(0.7276251289167517), np.float64(0.05915802101519966), np.float64(0.6232524337101459), np.float64(0.09639038224675307), np.float64(0.08754462780998944), np.float64(0.25405340753260075), np.float64(0.40375305639133163), np.float64(0.3814510294053207), np.float64(0.44065510684489884), np.float64(0.28119295904983765), np.float64(0.2258755804558793), np.float64(0.03399963291232654), np.float64(0.9983530230746266), np.float64(0.5499594902034544), np.float64(0.07468582578937333), np.float64(0.11884511288366), np.float64(0.25819307985300743), np.float64(0.6579317037459174), np.float64(0.5560924477472673), np.float64(0.8416623167742395), np.float64(0.28872508536044805), np.float64(0.968558312778918), np.float64(0.33280126708208657), np.float64(0.4916233393611621), np.float64(0.22302986574607409), np.float64(0.03348153349250411), np.float64(0.3473067703101188), np.float64(0.6195942475027545), np.float64(0.15437963839191773), np.float64(0.7681586640415897), np.float64(0.09009151536148206), np.float64(0.6992814397396181), np.float64(0.6328117127436912), np.float64(0.340856924572699), np.float64(0.5557676758545349), np.float64(0.17154198635587692), np.float64(0.9330782748010529), np.float64(0.49859755972602093), np.float64(0.010700037195537353), np.float64(0.9962211068621256), np.float64(0.8647682577782598), np.float64(0.2822742946539306), np.float64(0.1682947456506657), np.float64(0.8478956525073255), np.float64(0.46394478572858056), np.float64(0.015633535822402234), np.float64(0.5860387419807669), np.float64(0.5542380515316767), np.float64(0.23499570242504486), np.float64(0.8874071621636785), np.float64(0.0753668572329544), np.float64(0.00045686064958006456), np.float64(0.6650478133285048), np.float64(0.02397978613112542), np.float64(0.03528085770982904), np.float64(0.0027954070142226397), np.float64(0.7334022752950373)]",81
ETHUSDT,,,81
XRPUSDT,1.92229128448369,"[np.float64(0.9576882212282288), np.float64(0.2520593970133904), np.float64(0.46663736566570935), np.float64(0.15070421024075104), np.float64(0.8506693456206227), np.float64(0.10121756113498895), np.float64(0.0030379682996097466), np.float64(0.20304609472456048), np.float64(0.5234665114596305), np.float64(0.06031276706636165), np.float64(0.7002515212550118), np.float64(0.6174514487527245), np.float64(0.0031024786702726643), np.float64(0.7663444995872835), np.float64(0.5984953948349894), np.float64(0.43088118931321395), np.float64(0.0813487995732192), np.float64(0.16580552100234325), np.float64(0.006543183104309832), np.float64(0.501476643981514), np.float64(0.23929884975792748), np.float64(0.4624417305117303), np.float64(0.10712605344895777), np.float64(0.9964443471696938), np.float64(0.17425204825840745), np.float64(0.8031669382934384), np.float64(0.21615643692559605), np.float64(0.4016762890913764), np.float64(0.16672099638797921), np.float64(0.006960680009731103), np.float64(0.2644059649028193), np.float64(0.31450756539055535), np.float64(0.4625943139877873), np.float64(0.3869712455383233), np.float64(0.10956628946870492), np.float64(0.5657663964353743), np.float64(0.8399653510133835), np.float64(0.7257074736309372), np.float64(0.48717814152124816), np.float64(0.9187745380587778), np.float64(0.05129783841882338), np.float64(0.7584859171833283), np.float64(0.2404917027383383), np.float64(0.5454286684212392), np.float64(0.021691122666909205), np.float64(0.5767404878400674), np.float64(0.8958099693492279), np.float64(0.5740346132858931), np.float64(0.819500123746869), np.float64(0.06656269434377093), np.float64(0.6698256309439471), np.float64(0.14660197694267332), np.float64(0.0003364299799009642), np.float64(0.9006105127031547), np.float64(0.310068832223112), np.float64(0.48977640078516893), np.float64(0.5048217679848783), np.float64(0.7882005538104324), np.float64(0.7876312668443044), np.float64(0.16891758283113945), np.float64(0.0034139299340430144), np.float64(0.19270176829102315), np.float64(0.5862051763561924), np.float64(0.23105987220243873), np.float64(0.6171177843570819), np.float64(0.2658941847353048), np.float64(0.31883489945780874), np.float64(0.4653864894465751), np.float64(0.19880873911632657), np.float64(0.631045460305415), np.float64(0.8627449053231064), np.float64(0.6159152241675541), np.float64(0.43687806908210236), np.float64(0.32330527860524216), np.float64(0.24745347536087703), np.float64(0.10254770038928936), np.float64(0.14464818366672824), np.float64(5.3307171932816627e-05), np.float64(0.45638214618240447), np.float64(0.19843741482670874), np.float64(0.04748829713481019)]",81
