,cause,effect,p_value,optimal_lag,significant,stat
10,BNBUSDT,BTCUSDT,"[np.float64(0.24131100647228113), np.float64(0.014254759309468516), np.float64(0.03137317078550239), np.float64(0.04517107227778393), np.float64(0.08634552534912725), np.float64(0.11557404124823459), np.float64(0.14969634835755508), np.float64(0.20202514743041777), np.float64(0.18828873935355078), np.float64(0.2467558581252312)]",2,True,"[np.float64(1.3730320707014698), np.float64(4.2519200313435315), np.float64(2.9503350286133654), np.float64(2.433938166025583), np.float64(1.9269321952821097), np.float64(1.7041836638860224), np.float64(1.5366509102342067), np.float64(1.3745201380088978), np.float64(1.3853869963385819), np.float64(1.2604472617435727)]"
11,BTCUSDT,BNBUSDT,"[np.float64(0.018313699063418593), np.float64(0.006281075748115572), np.float64(0.00710117874305448), np.float64(0.0067954139202075), np.float64(0.0001095735838857924), np.float64(0.00040006491113774565), np.float64(0.0003302636649295767), np.float64(0.0006904381755881506), np.float64(0.0011353570646572219), np.float64(0.0005932115962779166)]",5,True,"[np.float64(5.567159447539409), np.float64(5.072000516669365), np.float64(4.029521628332735), np.float64(3.5420099547727686), np.float64(5.1119603828622235), np.float64(4.107609492656962), np.float64(3.8632341849515233), np.float64(3.3849231928053563), np.float64(3.0628849782101066), np.float64(3.099585038872391)]"
12,BNBUSDT,DOGEUSDT,"[np.float64(0.3387061340970554), np.float64(0.001084553336606212), np.float64(0.003411876083790071), np.float64(0.004396039027910896), np.float64(0.0005466484314134091), np.float64(0.0003610495661387796), np.float64(0.0003941681306433174), np.float64(0.0010352473190692177), np.float64(0.0008656767711281418), np.float64(0.0003874851735464393)]",6,True,"[np.float64(0.915383399056818), np.float64(6.829825916268557), np.float64(4.554202504882992), np.float64(3.7897426368725298), np.float64(4.383188605506116), np.float64(4.147851969395887), np.float64(3.8020728861786504), np.float64(3.256847834950489), np.float64(3.141415884156259), np.float64(3.211256425301924)]"
13,DOGEUSDT,BNBUSDT,"[np.float64(3.780537070691191e-15), np.float64(3.4884091621228904e-14), np.float64(1.9608728834850232e-13), np.float64(1.857868915744215e-13), np.float64(8.194347983369774e-18), np.float64(4.4946078324742733e-23), np.float64(2.15295106821206e-22), np.float64(8.377635955397871e-22), np.float64(4.7029143121929514e-21), np.float64(1.0891494246426233e-20)]",6,True,"[np.float64(61.94605652184926), np.float64(31.053552833701044), np.float64(20.78789611597086), np.float64(16.454228158865988), np.float64(17.97197285874018), np.float64(19.7282704533925), np.float64(16.901145839929566), np.float64(14.81381757447146), np.float64(13.086644372127793), np.float64(11.88141274640706)]"
14,BNBUSDT,ETHUSDT,"[np.float64(3.04121253272762e-11), np.float64(8.923678268908736e-13), np.float64(3.4611973583898966e-12), np.float64(1.6271665797240352e-12), np.float64(2.1189300284521363e-12), np.float64(6.649523730097068e-12), np.float64(2.1509835674405304e-11), np.float64(5.331536296357142e-12), np.float64(1.3917877709125599e-11), np.float64(1.894815454554323e-11)]",2,True,"[np.float64(44.21950435420495), np.float64(27.798449682010467), np.float64(18.83428137268918), np.float64(15.330140319863098), np.float64(12.760055621901092), np.float64(10.702225452581411), np.float64(9.194088464582043), np.float64(8.74718426028271), np.float64(7.8170695582699725), np.float64(7.206925874126712)]"
15,ETHUSDT,BNBUSDT,"[np.float64(0.7563355099404583), np.float64(0.8653631508789859), np.float64(0.9740917381284917), np.float64(0.5394066545196468), np.float64(0.14826426232093923), np.float64(0.26033256230772145), np.float64(0.35242615137195626), np.float64(0.021227217262197305), np.float64(0.00953407416107336), np.float64(0.017209586022150895)]",9,True,"[np.float64(0.09628756985799732), np.float64(0.1446074854091273), np.float64(0.07374067011364224), np.float64(0.7778074960264086), np.float64(1.6298962372046797), np.float64(1.2847335235788415), np.float64(1.1114837832287108), np.float64(2.2509271048607946), np.float64(2.4234970967528318), np.float64(2.1621954649874295)]"
16,BNBUSDT,XRPUSDT,"[np.float64(2.160065874913518e-18), np.float64(3.3938269358915267e-18), np.float64(3.6422741679699445e-17), np.float64(1.2002501421900237e-16), np.float64(5.766106526509749e-16), np.float64(1.9912805927612922e-15), np.float64(3.281914050444146e-15), np.float64(5.540262488321119e-15), np.float64(2.462074492225797e-15), np.float64(1.2227582903973385e-15)]",1,True,"[np.float64(76.74458147528775), np.float64(40.33720013368638), np.float64(26.62383703104965), np.float64(20.24620242120707), np.float64(16.199531221121106), np.float64(13.574519429962505), np.float64(11.89674214922887), np.float64(10.615050571516164), np.float64(9.928817911524526), np.float64(9.350683880493872)]"
17,XRPUSDT,BNBUSDT,"[np.float64(0.5790808783068797), np.float64(0.7675616195154246), np.float64(0.638372491587121), np.float64(0.5525177919657571), np.float64(0.03335078423352115), np.float64(0.005523665703197246), np.float64(0.0004625556701969607), np.float64(0.0006394289290294569), np.float64(0.0007028307729296955), np.float64(5.77114447045924e-06)]",10,True,"[np.float64(0.30773687641787145), np.float64(0.26454137884547885), np.float64(0.5645246370485686), np.float64(0.7579773758433558), np.float64(2.4221651778941116), np.float64(3.0515887980019465), np.float64(3.7465923766060376), np.float64(3.4090613804278944), np.float64(3.2014058688864453), np.float64(4.268957035021631)]"
18,BTCUSDT,DOGEUSDT,"[np.float64(0.3189952941219806), np.float64(0.5546114404562037), np.float64(0.7711069333672652), np.float64(0.42324403203923366), np.float64(0.5381175768836995), np.float64(0.6162824208592492), np.float64(0.5855052459680645), np.float64(0.6808251376731154), np.float64(0.7406173214317209), np.float64(0.012319076132944862)]",10,True,"[np.float64(0.9931301330766927), np.float64(0.5895116617411867), np.float64(0.3749127756096523), np.float64(0.9687109481187828), np.float64(0.8158044130517504), np.float64(0.7413488083318199), np.float64(0.8019766792002596), np.float64(0.7124589364093993), np.float64(0.6658670754457776), np.float64(2.2612498086054234)]"
19,DOGEUSDT,BTCUSDT,"[np.float64(0.8755811494659445), np.float64(0.5930043882046729), np.float64(0.6439869149640287), np.float64(0.011943704037248792), np.float64(0.02793784665007159), np.float64(0.0012903866783987889), np.float64(0.0024515303083645526), np.float64(0.0015729251329633354), np.float64(0.002410430394052928), np.float64(0.0008690468783712319)]",10,True,"[np.float64(0.024516069435345053), np.float64(0.5225724523339687), np.float64(0.5561387740608649), np.float64(3.2179927733769373), np.float64(2.511613827731153), np.float64(3.6435060731815745), np.float64(3.1575444366954475), np.float64(3.1232965904922576), np.float64(2.841820477667469), np.float64(2.9984722716826906)]"
20,BTCUSDT,ETHUSDT,"[np.float64(0.0004904650502953172), np.float64(0.0008428282586259991), np.float64(0.0004718907629677957), np.float64(0.0005428007007198578), np.float64(5.014265950574035e-06), np.float64(1.5088716880355593e-05), np.float64(3.151346266933526e-05), np.float64(5.945232956846772e-05), np.float64(9.768421906687073e-05), np.float64(3.24907784360603e-05)]",5,True,"[np.float64(12.15712444348079), np.float64(7.082229949629079), np.float64(5.954120733843337), np.float64(4.957214492167617), np.float64(6.480983620906387), np.float64(5.368145456578388), np.float64(4.660695691098619), np.float64(4.139530402537324), np.float64(3.7566204101201914), np.float64(3.842776378407405)]"
21,ETHUSDT,BTCUSDT,"[np.float64(0.7973067591372098), np.float64(0.9068100811227668), np.float64(0.4994267837943611), np.float64(0.5365736320378864), np.float64(0.009250389718317657), np.float64(0.01721733890876392), np.float64(0.015064472700456554), np.float64(0.002299629170538879), np.float64(0.0005214728961539717), np.float64(0.0003097614225520871)]",10,True,"[np.float64(0.06596625416076976), np.float64(0.09782290801365882), np.float64(0.7897123324108853), np.float64(0.7821290488834822), np.float64(3.0562686388276816), np.float64(2.57133559271096), np.float64(2.4849187571131846), np.float64(3.000771734177469), np.float64(3.286814235481615), np.float64(3.269529660181205)]"
22,BTCUSDT,XRPUSDT,"[np.float64(9.197227419978993e-05), np.float64(0.00037911959277597113), np.float64(0.0007320907868864558), np.float64(0.0009703269221493624), np.float64(0.0011618623712592606), np.float64(0.0021680360136051725), np.float64(0.0040487912902816), np.float64(0.0008673120889125045), np.float64(0.00041067592781746337), np.float64(0.0008089288068165687)]",1,True,"[np.float64(15.303399029998763), np.float64(7.881972073291651), np.float64(5.644982883049121), np.float64(4.636059357470407), np.float64(4.036132939038474), np.float64(3.4345838373650888), np.float64(2.975661267640988), np.float64(3.312955221652851), np.float64(3.354758503585057), np.float64(3.017529939233957)]"
23,XRPUSDT,BTCUSDT,"[np.float64(0.3722070241163693), np.float64(0.6454028159263072), np.float64(0.009518627993887016), np.float64(0.02109651646470654), np.float64(0.03480773490612981), np.float64(0.03260074817310402), np.float64(0.01925475268977886), np.float64(0.03480347931126781), np.float64(0.05005261533534869), np.float64(0.023711888948109702)]",3,True,"[np.float64(0.7963326678503863), np.float64(0.4378939582885932), np.float64(3.8185785703548105), np.float64(2.886630920361072), np.float64(2.4004595684312293), np.float64(2.2918456607892868), np.float64(2.3903281890771404), np.float64(2.0731430582892503), np.float64(1.8801704842176443), np.float64(2.0653792383853378)]"
24,DOGEUSDT,ETHUSDT,"[np.float64(1.8980214609972137e-11), np.float64(9.610290513857251e-15), np.float64(9.505956271233344e-15), np.float64(1.107308192923826e-14), np.float64(5.927930296755645e-17), np.float64(1.1780367451888965e-21), np.float64(2.7528707576969732e-21), np.float64(2.446983311013209e-21), np.float64(3.664292688595116e-21), np.float64(2.0577500683218395e-20)]",6,True,"[np.float64(45.145436829435354), np.float64(32.34842825859678), np.float64(22.845368322287094), np.float64(17.9122501247811), np.float64(17.148097193133843), np.float64(18.591999474473226), np.float64(16.134608325520926), np.float64(14.529373578182167), np.float64(13.14601366995265), np.float64(11.743980029722863)]"
25,ETHUSDT,DOGEUSDT,"[np.float64(0.37859399453193454), np.float64(0.2683373600927737), np.float64(0.545680670151731), np.float64(0.12349224307230586), np.float64(0.0025133884879420254), np.float64(0.001683262162687569), np.float64(0.001577488180482302), np.float64(5.42805460688053e-05), np.float64(6.302570054290822e-06), np.float64(6.729641333244923e-06)]",9,True,"[np.float64(0.7753102014925372), np.float64(1.3156305278472509), np.float64(0.7103381310631321), np.float64(1.8115882452485792), np.float64(3.676583524357047), np.float64(3.536771345824404), np.float64(3.315396697594355), np.float64(4.166978168668732), np.float64(4.499431654995142), np.float64(4.231435973220863)]"
26,DOGEUSDT,XRPUSDT,"[np.float64(3.5982279888896306e-16), np.float64(3.23577123978179e-19), np.float64(4.986426573121398e-19), np.float64(2.0046779442172196e-18), np.float64(1.1738424954814618e-17), np.float64(9.152138202737597e-19), np.float64(3.784889840115512e-18), np.float64(1.5396291199327905e-17), np.float64(5.768421698889931e-17), np.float64(4.1227448633118896e-20)]",10,True,"[np.float64(66.60073346211544), np.float64(42.7010356371316), np.float64(29.535080782715795), np.float64(22.35277587777332), np.float64(17.822406477006066), np.float64(16.270215298062663), np.float64(13.953127254429798), np.float64(12.197686238935948), np.float64(10.834822289323396), np.float64(11.593754741239641)]"
27,XRPUSDT,DOGEUSDT,"[np.float64(0.438881482506848), np.float64(0.7711468850179486), np.float64(0.11606034028016912), np.float64(0.07533919224210071), np.float64(0.08460901490987591), np.float64(0.13957734174730563), np.float64(0.09369562129840271), np.float64(0.04253232203090329), np.float64(0.02511377868537342), np.float64(2.171189711557493e-06)]",10,True,"[np.float64(0.599238369478688), np.float64(0.25988110353979427), np.float64(1.9704129224993416), np.float64(2.1217610774381623), np.float64(1.9378286702485776), np.float64(1.6108270768209971), np.float64(1.7454882191871175), np.float64(1.9993674620117883), np.float64(2.113029107282548), np.float64(4.50619095226446)]"
28,ETHUSDT,XRPUSDT,"[np.float64(8.026033745059646e-06), np.float64(1.0545211187686762e-05), np.float64(3.7707874043518494e-05), np.float64(4.949565338314124e-05), np.float64(0.00013612076991114657), np.float64(0.0002512595440980777), np.float64(0.00047075317625644794), np.float64(2.3626110621710384e-05), np.float64(5.246648558759297e-05), np.float64(1.9743601713985614e-05)]",1,True,"[np.float64(19.946153187443446), np.float64(11.468967990962627), np.float64(7.7202024268032865), np.float64(6.2638228977707655), np.float64(5.014336357893697), np.float64(4.2895477453066615), np.float64(3.7404909629784058), np.float64(4.416352543363055), np.float64(3.9275216556549646), np.float64(3.966620663865383)]"
29,XRPUSDT,ETHUSDT,"[np.float64(0.45056173910448916), np.float64(0.6964176094326886), np.float64(0.0004748028347127414), np.float64(0.00032953015447074275), np.float64(4.121832206956264e-06), np.float64(1.0532084111096697e-05), np.float64(4.212284408800121e-06), np.float64(2.1045515583397135e-06), np.float64(1.0481717991365818e-06), np.float64(7.72643006138719e-09)]",10,True,"[np.float64(0.5692693648901683), np.float64(0.3618148801202016), np.float64(5.9497954468062595), np.float64(5.231633009941796), np.float64(6.566997673720988), np.float64(5.5038896373317465), np.float64(5.3269016561898965), np.float64(5.128471175308618), np.float64(4.9732269093813875), np.float64(5.836093047517808)]"
