,cause,effect,p_value,optimal_lag,significant,stat
0,ADAUSDT,BNBUSDT,"[np.float64(3.364128177257667e-09), np.float64(2.5602842689448943e-19), np.float64(1.6522453877401546e-18), np.float64(2.626163119442737e-19), np.float64(3.0418246997563274e-18), np.float64(1.5892465299806768e-22), np.float64(2.1490079621399706e-21), np.float64(2.8095693057857613e-21), np.float64(3.924387907176132e-22), np.float64(6.638662271222681e-23)]",10,True,"[np.float64(35.00448775476749), np.float64(42.936577821269175), np.float64(28.72247099923155), np.float64(23.397866961695765), np.float64(18.384180840848327), np.float64(19.289105186948586), np.float64(16.20915251079965), np.float64(14.49268818749326), np.float64(13.676894527908475), np.float64(12.979837836070285)]"
1,BNBUSDT,ADAUSDT,"[np.float64(8.866703631256932e-22), np.float64(7.006286093544591e-37), np.float64(1.1510015118378902e-35), np.float64(1.0308957031608164e-34), np.float64(7.985457605105034e-34), np.float64(2.6782599547871652e-33), np.float64(6.315464264240111e-34), np.float64(7.915912573859273e-33), np.float64(2.5326758116324944e-32), np.float64(8.850717505129294e-32)]",2,True,"[np.float64(92.25258957570837), np.float64(83.73221248397418), np.float64(55.50661076266003), np.float64(41.57786977226279), np.float64(33.21243924009767), np.float64(27.8813615532829), np.float64(24.83638491521647), np.float64(21.499575793862775), np.float64(19.205052129086642), np.float64(17.33851854209791)]"
2,ADAUSDT,BTCUSDT,"[np.float64(0.020900091767662162), np.float64(7.865076155427564e-05), np.float64(7.116868788586213e-05), np.float64(0.00011683929381064278), np.float64(8.702410013392119e-05), np.float64(4.2447311138194936e-05), np.float64(0.00012607330317136443), np.float64(0.00017230603470548564), np.float64(2.7583245111590377e-05), np.float64(6.207769147135494e-05)]",9,True,"[np.float64(5.336278180962967), np.float64(9.456701189152213), np.float64(7.2779755068774215), np.float64(5.797969586314828), np.float64(5.215418391785089), np.float64(4.975204000912781), np.float64(4.193211212195182), np.float64(3.815908446681997), np.float64(4.102676147456296), np.float64(3.680444189946945)]"
3,BTCUSDT,ADAUSDT,"[np.float64(7.507530275940346e-10), np.float64(4.521939459086992e-09), np.float64(1.5675627478261283e-08), np.float64(2.091039947502119e-11), np.float64(1.2734083076119476e-11), np.float64(3.1376879849137594e-12), np.float64(1.2919037131759791e-12), np.float64(4.057757270498302e-12), np.float64(3.057533946410257e-12), np.float64(1.4002272224492912e-12)]",7,True,"[np.float64(37.93529202889596), np.float64(19.239998378160067), np.float64(13.086974310301466), np.float64(14.004508468761871), np.float64(12.004148568838538), np.float64(10.969656968960383), np.float64(10.064020882150892), np.float64(8.821967692843455), np.float64(8.190822008830638), np.float64(7.791268557913994)]"
4,ADAUSDT,DOGEUSDT,"[np.float64(0.05404575069139028), np.float64(1.7001063703799154e-08), np.float64(6.211152532727776e-08), np.float64(2.2716628394419515e-07), np.float64(1.0000377073492286e-06), np.float64(5.342611951114163e-07), np.float64(1.3674487980868154e-06), np.float64(1.542719254668371e-06), np.float64(5.3495938986479424e-08), np.float64(7.35032754976946e-09)]",10,True,"[np.float64(3.7118928941583653), np.float64(17.91224498643066), np.float64(12.142949913477082), np.float64(9.138642758047787), np.float64(7.185832432516984), np.float64(6.616103692987921), np.float64(5.694327818877363), np.float64(5.218762935536334), np.float64(5.7436814331150625), np.float64(5.847637001454801)]"
5,DOGEUSDT,ADAUSDT,"[np.float64(9.768536559595073e-19), np.float64(3.229662497488962e-32), np.float64(3.622139850480055e-36), np.float64(2.395654274305125e-36), np.float64(9.350621755472565e-36), np.float64(1.1693783937037236e-36), np.float64(1.5069251633619533e-37), np.float64(1.8279132515035476e-37), np.float64(3.897439403917264e-37), np.float64(1.3122340203848667e-36)]",7,True,"[np.float64(78.32041398531754), np.float64(72.87687443803816), np.float64(56.29098339387815), np.float64(43.50345799893851), np.float64(35.04431665976322), np.float64(30.551887305794068), np.float64(27.316930795404016), np.float64(24.2931921313842), np.float64(21.79666193732731), np.float64(19.691667610924014)]"
6,ADAUSDT,ETHUSDT,"[np.float64(4.213909482202945e-09), np.float64(1.4318802699831475e-10), np.float64(4.2205834547663787e-11), np.float64(1.4871708543151e-11), np.float64(1.1838866340005148e-10), np.float64(1.1660290470150052e-11), np.float64(2.3682779112393283e-11), np.float64(9.905162433869943e-13), np.float64(2.001631469549366e-12), np.float64(4.253159884687421e-13)]",10,True,"[np.float64(34.564950291756944), np.float64(22.70259696459392), np.float64(17.13024079233614), np.float64(14.181637293995283), np.float64(11.061296374727451), np.float64(10.501988152810625), np.float64(9.164218273626664), np.float64(9.20743413043064), np.float64(8.295005588712005), np.float64(8.057011164617789)]"
7,ETHUSDT,ADAUSDT,"[np.float64(9.237613429390559e-25), np.float64(1.6710348725643273e-26), np.float64(2.0541742269872705e-25), np.float64(3.265867512916019e-25), np.float64(3.082320363114278e-24), np.float64(2.600769526823222e-25), np.float64(3.633882934798076e-28), np.float64(3.759393960426626e-28), np.float64(1.884244835208371e-27), np.float64(9.423036358199391e-27)]",7,True,"[np.float64(105.94497342096508), np.float64(59.59920631667123), np.float64(39.50225756167525), np.float64(30.37551685717272), np.float64(24.10534737993663), np.float64(21.517389889727475), np.float64(20.882563586278202), np.float64(18.673040482028956), np.float64(16.57116494067893), np.float64(14.876511916537087)]"
8,ADAUSDT,XRPUSDT,"[np.float64(8.00619613122315e-24), np.float64(4.27399713528084e-24), np.float64(7.615994383696475e-24), np.float64(9.177586540780798e-24), np.float64(8.334028332349585e-24), np.float64(4.231273057239496e-24), np.float64(1.2909211966346478e-24), np.float64(3.576184697130515e-24), np.float64(1.8519992140191378e-23), np.float64(6.196106162781941e-23)]",7,True,"[np.float64(101.63555676216339), np.float64(54.011166589748015), np.float64(37.05342817132997), np.float64(28.66542957423008), np.float64(23.69402253623271), np.float64(20.54927041178295), np.float64(18.4367172603426), np.float64(16.258355556050606), np.float64(14.40088591425692), np.float64(12.994658770619733)]"
9,XRPUSDT,ADAUSDT,"[np.float64(8.623666720011754e-22), np.float64(3.584947758790638e-21), np.float64(2.1767121723407064e-20), np.float64(4.1568965969329404e-20), np.float64(5.1762839392281055e-21), np.float64(3.532088102132509e-20), np.float64(1.027418114197926e-22), np.float64(1.7408159726233763e-21), np.float64(5.315067537824918e-21), np.float64(5.743509221236983e-21)]",7,True,"[np.float64(92.30794391720995), np.float64(47.231863607847274), np.float64(31.658709794049965), np.float64(24.34508691994153), np.float64(21.031176113828092), np.float64(17.406852828336092), np.float64(17.123439440738654), np.float64(14.619759018708589), np.float64(13.05752794421089), np.float64(12.019545472383776)]"
