,date,f_stat,p_value,significant
1309,1629,1.3415681415919452,0.15286558395403205,False
1310,1630,1.3834088232447646,0.13007617302527885,False
1311,1631,1.3953566861064772,0.12410681771750631,False
1312,1632,1.387514624523127,0.1279986664142323,False
1313,1633,1.4075007427313053,0.11827409160390157,False
1314,1634,1.407631989327111,0.11821232500194712,False
1315,1635,1.4328237923475367,0.10684625143911519,False
1316,1636,1.4332958863445342,0.10664237139597932,False
1317,1637,1.4258777087273216,0.10988425901334398,False
1318,1638,1.402559981886854,0.12061894721257205,False
1319,1639,1.4074194724199847,0.11831235212508173,False
1320,1640,1.387097070420783,0.12820868676610764,False
1321,1641,1.389547135405071,0.12698041364250856,False
1322,1642,1.4080087601132767,0.11803516063881825,False
1323,1643,1.4050509439511,0.11943195516134864,False
1324,1644,1.406034063098977,0.11896616696529883,False
1325,1645,1.4359052998500754,0.1055213842344872,False
1326,1646,1.4244027580741185,0.11053864124502255,False
1327,1647,1.466442271967398,0.09312882737487516,False
1328,1648,1.4176018675761535,0.11359850642978175,False
1329,1649,1.2708482626257382,0.19853809256944144,False
1330,1650,1.256947923334326,0.20863463845541463,False
1331,1651,1.257034735156205,0.20857040723617426,False
1332,1652,1.2622166023335724,0.2047632149941333,False
1333,1653,1.2667513373923707,0.2014746501088387,False
1334,1654,1.2627344281150081,0.2043856558901227,False
1335,1655,1.2547653339350235,0.21025439046409455,False
1336,1656,1.2547520627355842,0.2102642680408795,False
1337,1657,1.268403369242691,0.2002865871232815,False
1338,1658,1.2630536788283873,0.20415314428072018,False
1339,1659,1.2657716609320009,0.20218170220050335,False
1340,1660,1.271305917398343,0.19821208743988783,False
1341,1661,1.2618783511514096,0.20501012562984466,False
1342,1662,1.2688777003588765,0.19994645371278208,False
1343,1663,1.2662245170739712,0.20185463397199033,False
1344,1664,1.2569559067348308,0.208628730996251,False
1345,1665,1.2310803545022981,0.22843826054571303,False
1346,1666,1.2353101147729573,0.2251090578953222,False
1347,1667,1.2439282205559068,0.2184361983879215,False
1348,1668,1.2733644110306108,0.19675077343458558,False
1349,1669,1.247422873394276,0.21577241015531423,False
1350,1670,1.2482078082516275,0.21517742536048046,False
1351,1671,1.2302439438485397,0.229100824563633,False
1352,1672,1.2200170451156864,0.2373153608222226,False
1353,1673,1.1941482880529404,0.2590320258319432,False
1354,1674,1.3092357132446546,0.17258974852916575,False
1355,1675,1.299009343727537,0.17922898173561697,False
1356,1676,1.335119371710972,0.1566485969661512,False
1357,1677,1.350325067530969,0.14784644547904402,False
1358,1678,1.3491145608619532,0.1485322362372813,False
1359,1679,1.3427344411371798,0.15218929939087977,False
1360,1680,1.356317004412016,0.14448942162417733,False
1361,1681,1.2530098447773355,0.21156399279902982,False
1362,1682,1.2203383935675525,0.23705405328490547,False
1363,1683,1.2326455947773034,0.22720211019117087,False
1364,1684,1.2178184102777387,0.23910876387397662,False
1365,1685,1.1589228938045562,0.29076629571837365,False
1366,1686,1.1848063307148369,0.26720559111475395,False
1367,1687,1.162017047199366,0.28787939192811285,False
1368,1688,1.164956597404205,0.28515438369832713,False
1369,1689,1.1703272315435558,0.28022023439384824,False
1370,1690,1.160995375684536,0.28883052581294466,False
1371,1691,1.1569218109743538,0.292643470792195,False
1372,1692,1.1537561245341394,0.2956293497921254,False
1373,1693,1.1176198905321035,0.33110254327979693,False
1374,1694,1.1193232361376084,0.329373905250286,False
1375,1695,1.0574371877632054,0.39557019561544204,False
1376,1696,1.0199431594789115,0.43877269561340226,False
1377,1697,1.0162047062021087,0.4431922729900136,False
1378,1698,1.0099778284734318,0.45059504880802936,False
1379,1699,1.0322086031917006,0.4244091807622743,False
1380,1700,1.1241879831532924,0.3244673179827089,False
1381,1701,1.1262251752600578,0.32242603825988403,False
1382,1702,1.1251851882264021,0.32346711832920594,False
1383,1703,1.1205111411425297,0.32817162234247754,False
1384,1704,1.1029468515966072,0.34621935939875237,False
1385,1705,1.1041218414284049,0.3449940577137718,False
1386,1706,1.1046998285211975,0.34439225798762996,False
1387,1707,1.1575421218142605,0.29206072001749916,False
1388,1708,1.1676117004134428,0.28270786926216773,False
1389,1709,1.1414530822959448,0.3074213293258713,False
1390,1710,1.128853900184744,0.3198038114435028,False
1391,1711,1.1243265555520239,0.3243282155536664,False
1392,1712,1.1219972330683656,0.326671324950223,False
1393,1713,1.1220193112982657,0.32664906740658217,False
1394,1714,1.095058197711887,0.3545114273646993,False
1395,1715,1.1286788006453794,0.31997806491488767,False
1396,1716,1.1342553742673456,0.3144575124376551,False
1397,1717,1.1440643434277904,0.3048936702221373,False
1398,1718,1.1935340278244289,0.2595640667220258,False
1399,1719,1.1873350838861,0.2649757774001207,False
1400,1720,1.1937942655854037,0.2593385693066217,False
1401,1721,1.2438502348452902,0.2184959191494369,False
1402,1722,1.2357940049043468,0.22473046947981545,False
1403,1723,1.2423294779906926,0.2196629156764276,False
1404,1724,1.2718445912279293,0.1978288908063317,False
1405,1725,1.2653599131436113,0.2024794282345136,False
1406,1726,1.2720526329320825,0.19768104697978428,False
1407,1727,1.2653855161498213,0.20246090558993102,False
1408,1728,1.2653975884458144,0.20245217226113177,False
1409,1729,1.1755762972047759,0.27545350090669074,False
1410,1730,1.2007403679244202,0.2533701267496533,False
1411,1731,1.243808870626362,0.21852760040051467,False
1412,1732,1.2387472120043588,0.22243004325561389,False
1413,1733,1.25789344207541,0.20793585690806282,False
1414,1734,1.2616558797174402,0.2051726436360619,False
1415,1735,1.2601535906636425,0.20627262381671474,False
1416,1736,1.2614696482746472,0.20530876249592178,False
1417,1737,1.251129586001108,0.21297341917742207,False
1418,1738,1.2204137254440541,0.2369928264485629,False
1419,1739,1.2222740434916255,0.23548444519590894,False
1420,1740,1.2804900299679116,0.19175569306988527,False
1421,1741,1.335214915533346,0.1565920066407609,False
1422,1742,1.3325137234668898,0.15819822813017814,False
1423,1743,1.3443235527366697,0.15127171877670287,False
1424,1744,1.3322532422849815,0.158353812211959,False
1425,1745,1.3055935699580992,0.1749318789215396,False
1426,1746,1.294795521527181,0.18202192510573834,False
1427,1747,1.2954591089859295,0.1815798678970154,False
1428,1748,1.3504619569416862,0.14776905448576372,False
1429,1749,1.349908542194917,0.1480821312141246,False
1430,1750,1.347695061974754,0.149339696483605,False
1431,1751,1.3457730155044347,0.1504386610882984,False
1432,1752,1.3694330155077306,0.1373568509296037,False
1433,1753,1.366279614872053,0.13904490133681802,False
1434,1754,1.3402631669526444,0.1536251392870167,False
1435,1755,1.3768463787330065,0.13345435111836956,False
1436,1756,1.6793770438641065,0.03675238706563999,True
1437,1757,1.6423635009814135,0.04349220051833602,True
1438,1758,1.614883570809687,0.04919850578467022,True
1439,1759,1.5935819123959039,0.05407534599386421,False
1440,1760,1.6804116303147387,0.03657845458419562,True
1441,1761,1.673176607695636,0.03781067179947384,True
1442,1762,1.72567440776456,0.029665943443991094,True
1443,1763,1.7242800102901437,0.029859633362469218,True
1444,1764,1.8306677184501,0.018002845944242396,True
1445,1765,1.6748591596702125,0.03752078664976821,True
1446,1766,1.6640617349678952,0.03941677466598403,True
1447,1767,1.6603346738532827,0.04009117447268218,True
1448,1768,1.6481681216471935,0.04236616086254297,True
1449,1769,1.6660365925514804,0.03906362152725862,True
1450,1770,1.6692225827752445,0.03849994439550519,True
1451,1771,1.5192365615067989,0.07464101687702107,False
1452,1772,1.5071876154470587,0.078552695713763,False
1453,1773,1.6135815393991397,0.04948486934317764,True
1454,1774,2.509328025940819,0.000510643736555072,True
1455,1775,2.579975230849307,0.000344214263980791,True
