,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,4.852159954421798,"[np.float64(1.1262471389275828e-32), np.float64(0.00877988926489355), np.float64(0.30739733574797523), np.float64(0.09893551121721683), np.float64(0.21409074469143274), np.float64(0.5728134781876206), np.float64(0.00032577721631219545), np.float64(0.36880014752409307), np.float64(0.8046933502235272), np.float64(8.936356094568421e-05), np.float64(0.08515365019286777), np.float64(0.002505753788058013), np.float64(0.5367100706248688), np.float64(0.8496635179898409), np.float64(0.19867641506029154), np.float64(0.10357488716977517), np.float64(0.8691864691808644), np.float64(0.8564080242921484), np.float64(0.036947143323024324), np.float64(0.12769598334601784), np.float64(0.2014861852533607), np.float64(0.0002415243359261446), np.float64(0.0037479606193034387), np.float64(0.0005139699207958474), np.float64(0.9438618613521406), np.float64(0.9568657207018199), np.float64(0.23952280793861092), np.float64(0.03615057673153174), np.float64(0.7690763147424468), np.float64(0.03870671297153792), np.float64(0.19003863525292508), np.float64(0.16108293978763266), np.float64(0.19047977181490772), np.float64(0.3556722410157266), np.float64(0.00021221323088594675), np.float64(0.029799446294272877), np.float64(0.03318027016422616), np.float64(0.006039300903718493), np.float64(0.17747907445386524), np.float64(0.9001868591559155), np.float64(0.06395663540058731), np.float64(0.6320461576524331), np.float64(0.07231674006460323), np.float64(0.05324973915908889), np.float64(0.5599346962899499), np.float64(0.22326954757465145), np.float64(0.6987545520991936), np.float64(0.8913715326873584), np.float64(0.328643981809043), np.float64(0.12923722686151903), np.float64(0.5105249941161694), np.float64(0.13855387887956133), np.float64(0.8506568974664755), np.float64(0.11941093922887379), np.float64(0.8088034183265362), np.float64(0.34649766822992145), np.float64(0.17372282873158873), np.float64(0.48000272238447883), np.float64(0.051559098673243785), np.float64(0.8370536969193642), np.float64(7.832469151723196e-05), np.float64(0.7428127345037174), np.float64(0.7817671988708998), np.float64(0.324233472400414), np.float64(0.07463086455583302), np.float64(0.19484785266091464), np.float64(0.8117727400937038), np.float64(0.04068603840973169), np.float64(0.8488436088129037), np.float64(0.016224143561106515), np.float64(0.6059757266087553), np.float64(0.9515987163938714), np.float64(0.03815443750261602), np.float64(0.05867401732348593), np.float64(0.05912189588570324), np.float64(0.0011390736970885514), np.float64(0.31369517212738285), np.float64(0.9039589622352192), np.float64(0.14246393363907356), np.float64(0.21767372938983442), np.float64(0.6230311105424668)]",81
BNBUSDT,1.884373625570675,"[np.float64(0.0005970547040864087), np.float64(0.13054951944657012), np.float64(0.19761365990589208), np.float64(0.9250091443213027), np.float64(0.27423521973610876), np.float64(0.0039027609367898227), np.float64(0.3060545156676667), np.float64(0.3503124746612427), np.float64(0.30790006760058397), np.float64(0.4273416468798493), np.float64(0.5583344766465645), np.float64(0.9874913762171027), np.float64(0.09615105005475236), np.float64(0.7344194466699765), np.float64(0.8150307094118638), np.float64(0.02346138322380935), np.float64(0.4679552603054379), np.float64(0.8493988969555606), np.float64(0.1741980291534173), np.float64(0.01348191234500053), np.float64(0.1125269216678434), np.float64(0.826397956369297), np.float64(0.8872244495636253), np.float64(0.12397286377748515), np.float64(0.3304510420745075), np.float64(0.5508073817367767), np.float64(0.3509624655010858), np.float64(0.028392108223681913), np.float64(0.5136715104509003), np.float64(0.6249596642305586), np.float64(0.18064066109613708), np.float64(0.2988673630681643), np.float64(0.10570952427268251), np.float64(0.4970288185991968), np.float64(0.06569412601923334), np.float64(0.8333131379075918), np.float64(0.6685474866596687), np.float64(0.11018768087604915), np.float64(0.524509038993245), np.float64(0.43150665784307873), np.float64(0.017581154327277655), np.float64(0.027974427633037015), np.float64(0.6495857859798011), np.float64(0.028274757816804243), np.float64(0.07294796944848354), np.float64(0.11404828989496206), np.float64(0.023569716157850588), np.float64(0.7529711153908298), np.float64(0.21110581380110516), np.float64(0.4913612565310068), np.float64(0.31610013475357623), np.float64(0.2095648884486011), np.float64(0.683951465914995), np.float64(0.003967509927403063), np.float64(0.1920984049666159), np.float64(0.1805883041567612), np.float64(0.9823781664290526), np.float64(0.027609978219575705), np.float64(0.0011298549780417542), np.float64(0.8344131824339237), np.float64(0.8917070698521745), np.float64(0.9870396099295343), np.float64(0.7628987902962436), np.float64(0.016017023556701922), np.float64(0.4080382221179162), np.float64(0.6023453958325814), np.float64(0.26239009683994874), np.float64(0.583466418697429), np.float64(0.47319983438572244), np.float64(0.834616830325271), np.float64(0.2734128262372463), np.float64(0.10583653017061694), np.float64(0.9044694579480426), np.float64(0.09116564375515504), np.float64(0.10982595793024731), np.float64(0.43226298122551543), np.float64(0.24640386774254064), np.float64(0.6722863849377384), np.float64(0.06850733400286373), np.float64(0.219376713756133), np.float64(0.12376147072044608)]",81
BTCUSDT,2.192571025398634,"[np.float64(0.7827436525085956), np.float64(0.3869979204251214), np.float64(0.41505116588588153), np.float64(0.6529126527158626), np.float64(0.014377191575598148), np.float64(0.14303486001371768), np.float64(0.7864871422605216), np.float64(0.12145653469327544), np.float64(0.49586067448120086), np.float64(0.6186109893837517), np.float64(0.9436454764306027), np.float64(0.031781903045754095), np.float64(0.2387295961150223), np.float64(0.12762989626327834), np.float64(0.30210752243358785), np.float64(0.9626465167882328), np.float64(0.28137810464053636), np.float64(0.019388891763661636), np.float64(0.8060622174819019), np.float64(0.5966567927266757), np.float64(0.12561716576664916), np.float64(0.08207382567846942), np.float64(0.024873690660112264), np.float64(0.1626642966272963), np.float64(0.0003497585654051192), np.float64(0.5906243238319724), np.float64(0.0612654883761816), np.float64(0.691897359414386), np.float64(0.7485219976340933), np.float64(0.5627363623863337), np.float64(0.21010055354505686), np.float64(0.1633397902528272), np.float64(0.3194739776722483), np.float64(0.5131160916369313), np.float64(0.7189401142586842), np.float64(0.2548291922603323), np.float64(0.4843526334788829), np.float64(0.31265677608841724), np.float64(0.03394161409949015), np.float64(0.3823918134739068), np.float64(0.8210168660441219), np.float64(0.8654951752693393), np.float64(0.09392566556392053), np.float64(0.09305575059535824), np.float64(0.21525270413754183), np.float64(0.764169523816171), np.float64(0.0003896013718374382), np.float64(0.691520411864619), np.float64(0.4121397656928374), np.float64(0.8437117637160266), np.float64(0.09335379396861228), np.float64(0.17627497095104783), np.float64(0.008960918875661592), np.float64(0.0347440864966067), np.float64(0.5248247034313709), np.float64(0.836399882644124), np.float64(0.09195354807736336), np.float64(0.6125115624712227), np.float64(0.804685067572362), np.float64(0.7413768249289712), np.float64(0.07786821352223336), np.float64(0.6738285374189803), np.float64(0.012736601180255653), np.float64(0.0069389845200099505), np.float64(0.22776862240140783), np.float64(0.8411418899748879), np.float64(0.010217118482281082), np.float64(0.04731901149057525), np.float64(0.5329655516759281), np.float64(0.10298852126504189), np.float64(0.15250793679830746), np.float64(0.3853379654292638), np.float64(0.5300299807893969), np.float64(0.25728989311586425), np.float64(0.33997887875544697), np.float64(0.020790370235758793), np.float64(0.8361272590659887), np.float64(0.10849286464503384), np.float64(0.6084990108425987), np.float64(8.002788722358643e-05), np.float64(0.17544124446539655)]",81
DOGEUSDT,2.034878203332381,"[np.float64(0.0023440544186388835), np.float64(0.43883647128598136), np.float64(0.23589519384593682), np.float64(0.7340589120023298), np.float64(0.05426735672468392), np.float64(0.3147614233907665), np.float64(0.17475886736899782), np.float64(0.525128597577203), np.float64(0.021877871545161912), np.float64(0.000505639173007385), np.float64(0.5790085291985071), np.float64(0.22525835042401676), np.float64(0.5113128616069214), np.float64(0.16693035796684907), np.float64(0.018368332145508776), np.float64(0.049461590586872224), np.float64(0.6096372667117309), np.float64(0.17742369487899734), np.float64(0.49361318216801686), np.float64(0.0018518288015336843), np.float64(0.2814987683568241), np.float64(0.015926175188682466), np.float64(0.6400565590497158), np.float64(0.7560299706423443), np.float64(0.7069129289691449), np.float64(0.4861814086218198), np.float64(0.5244389537406048), np.float64(0.04630398367402454), np.float64(0.6245774692558357), np.float64(0.9934467493074739), np.float64(0.010180908893281644), np.float64(0.4583444304319414), np.float64(0.11417109141718423), np.float64(0.453744442836169), np.float64(0.11514753521366948), np.float64(0.4266921900576158), np.float64(0.7827134772183005), np.float64(0.03971459616709747), np.float64(0.003160834095322197), np.float64(0.38675347821949324), np.float64(0.7809002172382467), np.float64(0.9876753811591723), np.float64(0.8341658713871914), np.float64(0.17077843425159955), np.float64(0.9386381473325971), np.float64(0.6819218006505321), np.float64(0.3302947957305151), np.float64(0.7003512145352835), np.float64(0.27640527654987346), np.float64(0.32071209365513864), np.float64(0.08656226564532005), np.float64(0.6932283026276478), np.float64(0.6400765328364864), np.float64(0.5777624991119452), np.float64(0.08623856125943687), np.float64(0.7374788068566265), np.float64(0.01213688613352517), np.float64(0.2606930953150448), np.float64(0.6413109622472968), np.float64(0.5168360382045653), np.float64(0.36955147507651354), np.float64(0.7343201179614068), np.float64(0.0505310557353329), np.float64(0.062394656127382694), np.float64(0.1072304165000682), np.float64(0.5778075466956549), np.float64(0.9095366843585503), np.float64(0.23458137963759762), np.float64(0.9703983425167295), np.float64(0.29164049104278533), np.float64(0.7505085602517358), np.float64(0.40660335152489036), np.float64(0.04841702468573967), np.float64(0.7001060175959409), np.float64(0.27183190021941184), np.float64(0.14252232977289653), np.float64(0.5717913223769937), np.float64(7.474960602587274e-05), np.float64(0.8471412868160081), np.float64(0.05067647593895604), np.float64(0.7582883038854613)]",81
ETHUSDT,2.527470443012693,"[np.float64(0.6243522875815206), np.float64(0.6628990719853816), np.float64(0.003699466959165914), np.float64(0.11816343099821781), np.float64(0.001174392681816877), np.float64(0.28601689274115083), np.float64(0.9409045933813762), np.float64(0.05589666831362639), np.float64(0.4274710830442341), np.float64(0.21365742592824621), np.float64(0.7434628728113579), np.float64(0.6314790290071739), np.float64(0.918752206321761), np.float64(0.00010360550425952976), np.float64(0.04678357692147254), np.float64(0.30648153910188003), np.float64(0.08252128600007608), np.float64(0.7758940819119299), np.float64(0.06808271154191314), np.float64(0.6167819405321459), np.float64(0.38814256615869847), np.float64(0.9329362935458057), np.float64(0.48558046595468185), np.float64(0.9962221264823194), np.float64(5.429923846732444e-05), np.float64(0.7301358485879125), np.float64(0.04000790211157241), np.float64(0.6583275994238427), np.float64(0.3761296480097187), np.float64(0.5731914641207642), np.float64(0.0393261516909954), np.float64(0.6018652881690102), np.float64(0.4071580912802033), np.float64(0.02373765145244023), np.float64(0.9879392467230729), np.float64(0.807209939613594), np.float64(0.1263604587124171), np.float64(0.05155358934660104), np.float64(0.9240392748619057), np.float64(0.928302675363567), np.float64(0.05411176916274179), np.float64(0.4790044535328465), np.float64(0.39538289936523796), np.float64(0.9273468526319012), np.float64(0.10213450288028894), np.float64(0.7177202680545989), np.float64(0.00019906621150354503), np.float64(0.5424982312929733), np.float64(0.34891355326368445), np.float64(0.08116091284406877), np.float64(0.4773073968791457), np.float64(0.8355965990659447), np.float64(0.09318390609368803), np.float64(0.1859687760208243), np.float64(0.22525064566798503), np.float64(0.8750832801473999), np.float64(0.22386618998356522), np.float64(0.03219018326894955), np.float64(0.6262538147679129), np.float64(0.3727772036106526), np.float64(3.089809212795383e-05), np.float64(0.8381521883680497), np.float64(0.5854010402782936), np.float64(0.012538758965059018), np.float64(0.3125845931713823), np.float64(0.7191848685830716), np.float64(0.1554554548674475), np.float64(0.5709949053253754), np.float64(0.30443116706105044), np.float64(0.00413836605418134), np.float64(0.13415711043925366), np.float64(0.8228787981060093), np.float64(0.09730129355979686), np.float64(0.3041538609016836), np.float64(0.03628506025322172), np.float64(0.0016940428024043268), np.float64(0.8193612103628264), np.float64(0.26992138523272147), np.float64(0.49584001604423855), np.float64(0.6724474617897408), np.float64(0.8069664278202355)]",81
XRPUSDT,,,81
