,zscore_count,zscore_percentage,iqr_count,iqr_percentage,mad_count,mad_percentage
ADAUSDT,171,1.1875,783,5.4375,1635,11.354166666666666
BNBUSDT,197,1.3680555555555556,849,5.895833333333334,1633,11.340277777777779
BTCUSDT,234,1.625,857,5.951388888888888,1662,11.541666666666666
DOGEUSDT,200,1.3888888888888888,792,5.5,1572,10.916666666666666
ETHUSDT,178,1.2361111111111112,713,4.951388888888889,1451,10.07638888888889
XRPUSDT,207,1.4375,827,5.743055555555555,1483,10.29861111111111
