,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,3.634976906356612,"[np.float64(9.247926450186574e-06), np.float64(4.955575473349943e-10), np.float64(8.356864087851638e-06), np.float64(0.007854871097969238), np.float64(0.4312924350978955), np.float64(0.623931961712104), np.float64(0.00016323329823273087), np.float64(0.029348241416948008), np.float64(0.4025136430375118), np.float64(0.6852099417665081), np.float64(0.17646775287786276), np.float64(0.09907831486987406), np.float64(0.31060372475035924), np.float64(0.8515457896144117), np.float64(0.5984817942282739), np.float64(0.6325516260216829), np.float64(0.011602976161812033), np.float64(0.9431285822346426), np.float64(0.007989320442207454), np.float64(0.6998898501888899), np.float64(1.219115199519123e-05), np.float64(0.013488235989932136), np.float64(0.6108176395442428), np.float64(0.9074731143861117), np.float64(0.14983063343600742), np.float64(0.9210234998759962), np.float64(0.42366069025690467), np.float64(0.0028151175890516584), np.float64(0.5466720119907171), np.float64(0.002360392658592449), np.float64(0.0784409379993692), np.float64(0.7103336594014462), np.float64(0.3145258119105391), np.float64(0.3161213188370575), np.float64(0.0016565238744150103), np.float64(0.22667517638065116), np.float64(0.005929057459494052), np.float64(0.30537072273002497), np.float64(0.10275499210354301), np.float64(0.2078823208566838), np.float64(0.10766021754343377), np.float64(0.6277624739197254), np.float64(0.12737113285317428), np.float64(0.3023375089439698), np.float64(0.24169038238911156), np.float64(0.5693551881471284), np.float64(0.28947447948664284), np.float64(0.27488307490762376), np.float64(0.5584692975609002), np.float64(0.1821596843109865), np.float64(0.1797089051635239), np.float64(0.035581833939506355), np.float64(0.029709123585598383), np.float64(0.2669667208853719), np.float64(0.78938707431471), np.float64(0.8686565809833469), np.float64(0.45888386468701514), np.float64(0.042280265870612815), np.float64(0.24454907276309312), np.float64(0.9282919850169064), np.float64(0.00332633463001472), np.float64(0.9697105365694959), np.float64(0.9571728087248547), np.float64(0.9147916428343364), np.float64(0.6383999302853792), np.float64(0.32081401366595164), np.float64(0.3903829662638447), np.float64(0.000728595182613092), np.float64(0.3331725704942472), np.float64(0.0015965154002639706), np.float64(0.9828539094544455), np.float64(0.6384205276615864), np.float64(0.7860162722378295), np.float64(0.2692582173817425), np.float64(0.019054255986264774), np.float64(0.49971342585202994), np.float64(0.11467167223405773), np.float64(0.3761041510597022), np.float64(5.027189225313322e-05), np.float64(0.0910549133968407), np.float64(0.9416772863672458)]",81
BNBUSDT,1.96651785847276,"[np.float64(0.009642189995075557), np.float64(0.025118704765460596), np.float64(0.08147159381250611), np.float64(0.5443399054149427), np.float64(0.002857571628663279), np.float64(0.005833481119612037), np.float64(0.6743463629228039), np.float64(0.2407237969385797), np.float64(0.32002344849606845), np.float64(0.6728310606107769), np.float64(0.2951662072848148), np.float64(0.9711818241613647), np.float64(0.8698634167490098), np.float64(0.2221976019243126), np.float64(0.26661926347491394), np.float64(0.0007839905528343287), np.float64(0.5594416432188714), np.float64(0.932393061431178), np.float64(0.9465481120716589), np.float64(0.15724755423407438), np.float64(0.3282890170921542), np.float64(0.9687359806423199), np.float64(0.11271868430096113), np.float64(0.8594762427169496), np.float64(0.5252978822988881), np.float64(0.13206714513342704), np.float64(0.674608750298772), np.float64(0.010438468797851427), np.float64(0.4573310413113272), np.float64(0.6541516895599565), np.float64(0.8227481716854653), np.float64(0.5384823308024207), np.float64(0.25442976455840716), np.float64(0.7337645133528427), np.float64(0.012049342137607203), np.float64(0.5610764388905951), np.float64(0.5005483704107099), np.float64(0.8650152076391693), np.float64(0.7093651456496735), np.float64(0.953190379575907), np.float64(0.037615453781760885), np.float64(0.3718189852314784), np.float64(0.8384120680763467), np.float64(0.02519955771472321), np.float64(0.2611263447914034), np.float64(0.06765320697916645), np.float64(0.0070190828024071245), np.float64(0.14027946301748834), np.float64(0.18205655475387517), np.float64(0.1120099406974688), np.float64(0.5895043128033359), np.float64(0.7563550381137414), np.float64(0.9703346193895679), np.float64(0.05831532066783741), np.float64(0.5717280151434079), np.float64(0.453890010088448), np.float64(0.16725655115736227), np.float64(0.01233087724076948), np.float64(0.1630522072082602), np.float64(0.7220568028449836), np.float64(0.586639067389048), np.float64(0.5441241295381318), np.float64(0.6821413887987107), np.float64(0.017341692637887658), np.float64(0.4530297854919817), np.float64(0.8769824493272322), np.float64(0.278173419408565), np.float64(0.11652080752870339), np.float64(0.16881105103875327), np.float64(0.2865843478517677), np.float64(0.18657059463507508), np.float64(0.47368902915008526), np.float64(0.5261833451468393), np.float64(0.5058227899379153), np.float64(0.2353891141703912), np.float64(0.48100072026374574), np.float64(0.15708929769238253), np.float64(0.2992071422049257), np.float64(0.0002266169278615341), np.float64(0.6659306348876988), np.float64(0.09008685016453132)]",81
BTCUSDT,2.219167483489368,"[np.float64(0.00010151827442749078), np.float64(0.06350242230740247), np.float64(0.10775243329957275), np.float64(0.14632637383867356), np.float64(0.10398650483288739), np.float64(0.3915227814377741), np.float64(0.8355321120387904), np.float64(0.005571191147042443), np.float64(0.9247737494403678), np.float64(0.15923771916737972), np.float64(0.5987933882974434), np.float64(0.007131475197586151), np.float64(0.14608670797616108), np.float64(0.005317249765388658), np.float64(0.006256202481714525), np.float64(0.8927125827566668), np.float64(0.1618953236218038), np.float64(0.049063228438815734), np.float64(0.3603075747555551), np.float64(0.5504159900170111), np.float64(0.3366128147694898), np.float64(0.08199400137583046), np.float64(0.044873007765476924), np.float64(0.38603247011374686), np.float64(0.0006263365681765837), np.float64(0.32976114532766454), np.float64(0.15657031117690703), np.float64(0.47278214520156936), np.float64(0.6807298649627533), np.float64(0.13382561781592564), np.float64(0.32358216337446954), np.float64(0.8045386177140013), np.float64(0.9712969777029601), np.float64(0.9443651378652246), np.float64(0.8891529994923882), np.float64(0.6772760796516553), np.float64(0.6841757934300974), np.float64(0.2456818500222092), np.float64(0.5045852593359037), np.float64(0.28940352357420596), np.float64(0.3531532121367772), np.float64(0.15535752492329533), np.float64(0.6275746474956425), np.float64(0.18350548300558467), np.float64(0.45811517548190317), np.float64(0.7072703917017331), np.float64(0.02393476041852276), np.float64(0.8041116735952423), np.float64(0.8209578404135993), np.float64(0.9177670257598622), np.float64(0.12366404771233391), np.float64(0.08389074128003546), np.float64(0.5179578556058806), np.float64(0.04082815779988813), np.float64(0.19021240259503058), np.float64(0.4677181438901875), np.float64(0.052678655258942664), np.float64(0.373646127844658), np.float64(0.934202708478881), np.float64(0.18858821213332966), np.float64(0.017132082879911654), np.float64(0.31912237860229775), np.float64(0.15197827239401496), np.float64(0.5434904622759569), np.float64(0.7107897836571592), np.float64(0.9721585316610891), np.float64(0.058673524041518155), np.float64(0.16643677720269046), np.float64(0.5552516903083986), np.float64(0.12158866206741747), np.float64(0.4044313999271777), np.float64(0.16233296676497888), np.float64(0.22254162092161012), np.float64(0.5501820143604039), np.float64(0.5067584913100861), np.float64(0.1160355270341734), np.float64(0.19358956271784822), np.float64(0.7915304915631669), np.float64(0.038479240130251065), np.float64(1.889175832531335e-05), np.float64(0.07271499376521129)]",81
DOGEUSDT,,,81
ETHUSDT,2.625656734642726,"[np.float64(0.0012453766674190862), np.float64(0.006941098525894229), np.float64(0.04989125979580321), np.float64(0.29220936872688363), np.float64(0.016839155789122026), np.float64(0.11007525522532374), np.float64(0.9612304158421345), np.float64(0.0065234847698239905), np.float64(0.3559481972276022), np.float64(0.07605615021403524), np.float64(0.23159164593075843), np.float64(0.2979040522333227), np.float64(0.28772669786285), np.float64(9.632634820774141e-06), np.float64(1.7086526656343965e-05), np.float64(0.5136831339929513), np.float64(0.8930077591363484), np.float64(0.2966964631396921), np.float64(0.006965765222474755), np.float64(0.2847239716255908), np.float64(0.2408283936527187), np.float64(0.9951835466258709), np.float64(0.12690588913991394), np.float64(0.48275347476783503), np.float64(0.001625772994831073), np.float64(0.368981259654653), np.float64(0.10487998039927589), np.float64(0.04628284713270103), np.float64(0.9650946403861346), np.float64(0.22477191327729573), np.float64(0.07198987071160363), np.float64(0.5050937829767368), np.float64(0.34150527576199163), np.float64(0.7242584270639851), np.float64(0.1719191623620162), np.float64(0.3526070515076972), np.float64(0.5620762584313466), np.float64(0.8300165561098344), np.float64(0.35951004192160285), np.float64(0.748093932077295), np.float64(0.17319908780458237), np.float64(0.49663771030575354), np.float64(0.8704684114786219), np.float64(0.3855433212925661), np.float64(0.3709069374251103), np.float64(0.6460499993220865), np.float64(0.046823310416065876), np.float64(0.2817734484744536), np.float64(0.30608171242352755), np.float64(0.4716276076952892), np.float64(0.44716960946338413), np.float64(0.8349476270711318), np.float64(0.5286906712130492), np.float64(0.5034676923903378), np.float64(0.5344623421735322), np.float64(0.7072363863360865), np.float64(0.18046750391330035), np.float64(0.09823738124971013), np.float64(0.9932926954732958), np.float64(0.8969852500013271), np.float64(4.444314122338176e-06), np.float64(0.8521911052379172), np.float64(0.8056353762971425), np.float64(0.002688936429931293), np.float64(0.3492003219896447), np.float64(0.8529203581783942), np.float64(0.15501472102347497), np.float64(0.3935492630041937), np.float64(0.023371782723646865), np.float64(0.014538591095398807), np.float64(0.5978105368236593), np.float64(0.9853652618671392), np.float64(0.389102543189904), np.float64(0.13963158434555817), np.float64(0.005710541215483921), np.float64(0.05771219523381699), np.float64(0.7374113373962128), np.float64(0.3642503984400013), np.float64(0.4138828993926771), np.float64(0.053339663243622375), np.float64(0.09800620528066316)]",81
XRPUSDT,2.2616164670120122,"[np.float64(8.934257714371288e-05), np.float64(0.6474929849852462), np.float64(0.14081254084807587), np.float64(0.08612445789786301), np.float64(0.8253538846755502), np.float64(0.8647074663602772), np.float64(0.018321535395776255), np.float64(0.6047036559049956), np.float64(0.9044466135599809), np.float64(0.0009173622446611581), np.float64(0.16089199273057242), np.float64(0.9769488471589081), np.float64(0.004951233040555051), np.float64(0.31176927449236036), np.float64(0.06106437496095352), np.float64(0.09022705092775234), np.float64(0.7914460122359173), np.float64(0.9529181747560349), np.float64(0.39127202891797674), np.float64(0.049060390038307124), np.float64(0.8226419991084485), np.float64(0.11370256047098566), np.float64(0.8031529214522795), np.float64(0.2422606294397397), np.float64(0.3010671249205228), np.float64(0.2501331556728419), np.float64(0.3831260763971177), np.float64(0.025350493405802078), np.float64(0.0172839951598129), np.float64(0.0010593048880966746), np.float64(0.14624911609441651), np.float64(0.14059296116524242), np.float64(0.6919090490188191), np.float64(0.05301773955311876), np.float64(0.10146615811086347), np.float64(0.2599916644904452), np.float64(0.03616071883081798), np.float64(0.35277312984986986), np.float64(0.10938161498552483), np.float64(0.4759233819729015), np.float64(0.006816740390988541), np.float64(0.445485092178444), np.float64(0.19081934998509087), np.float64(0.919493912596867), np.float64(0.0850446711829587), np.float64(0.4717063430532211), np.float64(0.7555068891739188), np.float64(0.6502741366928781), np.float64(0.6148034284987516), np.float64(0.18584515478540098), np.float64(0.12067714416352018), np.float64(0.011146716128780631), np.float64(0.03928576842600654), np.float64(0.7189910290269781), np.float64(0.9497357885853451), np.float64(0.5070100571137404), np.float64(0.9416946549610524), np.float64(0.6801878185109287), np.float64(0.7684737101508398), np.float64(0.6389086078922733), np.float64(0.0550166191705151), np.float64(0.1118646300390933), np.float64(0.44261001491680674), np.float64(0.6425642341708229), np.float64(0.4162137667691125), np.float64(0.6516078919908022), np.float64(0.6063642868027315), np.float64(0.35887941471119944), np.float64(0.1367010267430355), np.float64(0.8116873571521575), np.float64(0.7980634989677761), np.float64(0.39745672036491386), np.float64(0.4183250850932536), np.float64(0.47781703389169583), np.float64(0.5261933110081536), np.float64(0.037739867523195664), np.float64(0.22339622443723817), np.float64(1.0257156535307576e-05), np.float64(0.4920903693816969), np.float64(0.31552848666974376), np.float64(0.9605346722956507)]",81
