,date,f_stat,p_value,significant
7942,8262,0.6977493153558649,0.8274903918227333,False
7943,8263,0.6990262648040279,0.8262068318386718,False
7944,8264,0.7044305638452956,0.8207265694549598,False
7945,8265,0.6817104101707447,0.8432322331124198,False
7946,8266,0.6941427548144681,0.8310918933032442,False
7947,8267,0.6850103914968002,0.8400518974980239,False
7948,8268,0.6830055279851062,0.8419877491304083,False
7949,8269,0.6833494616442192,0.8416564619985211,False
7950,8270,0.6587025229571525,0.8645265535712758,False
7951,8271,0.6745558888050629,0.8500204384841722,False
7952,8272,0.6786845387592462,0.8461211577440707,False
7953,8273,0.6957209029390522,0.8295202903677212,False
7954,8274,0.6861292109923904,0.8389666652582686,False
7955,8275,0.734791486502113,0.7885718870940426,False
7956,8276,0.7303712297137496,0.7933905498899612,False
7957,8277,0.7219991355112007,0.802392863038008,False
7958,8278,0.7103971175729672,0.814587552208454,False
7959,8279,0.6871595942112013,0.8379641085341648,False
7960,8280,0.7509182463378232,0.7706272255471339,False
7961,8281,0.7711613428130561,0.7473593879139196,False
7962,8282,0.7770718728679983,0.7404247409378859,False
7963,8283,0.7613888880755635,0.7586891021597488,False
7964,8284,0.7493723046617257,0.772371285052602,False
7965,8285,0.7541581304597171,0.766956402028735,False
7966,8286,0.7451628811894425,0.7770950830249557,False
7967,8287,0.738849209449518,0.7841097061209651,False
7968,8288,0.7332263118375413,0.7902832181715628,False
7969,8289,0.7388394436490597,0.7841204891242218,False
7970,8290,0.7370133159140161,0.7861331284590631,False
7971,8291,0.7468107159872538,0.7752502975813064,False
7972,8292,0.7502994579930179,0.7713259010459051,False
7973,8293,0.7530623318168217,0.7682003186287861,False
7974,8294,0.7467872861495956,0.7752765677384232,False
7975,8295,0.7446702649670632,0.7776454650040792,False
7976,8296,0.7380429028989806,0.7849992904494968,False
7977,8297,0.7510551690938816,0.770472520187226,False
7978,8298,0.753952906833264,0.7671895482325108,False
7979,8299,0.8023323350870407,0.7101655787078083,False
7980,8300,0.8406107374176854,0.6628031735268265,False
7981,8301,0.8671912383956999,0.6292255017336175,False
7982,8302,0.8599055770672098,0.6384656152972299,False
7983,8303,0.86049921734332,0.6377135684179788,False
7984,8304,0.8507181983944326,0.6500819358286483,False
7985,8305,0.8325542110768217,0.6728895656665725,False
7986,8306,0.8581467608249016,0.6406927854405509,False
7987,8307,0.8412914495250957,0.6619486413281275,False
7988,8308,0.8424746023705498,0.6604625658587595,False
7989,8309,0.8477451037626986,0.6538308457525028,False
7990,8310,0.8575595257935178,0.6414360630215366,False
7991,8311,0.8514783805419578,0.6491225289135552,False
7992,8312,0.8615260497886894,0.6364123609559789,False
7993,8313,0.8634826200921126,0.6339317166244898,False
7994,8314,0.8504501014217282,0.6504202127096957,False
7995,8315,0.8223205311514393,0.6856201775190598,False
7996,8316,0.8113007175228392,0.6992099288729134,False
7997,8317,0.8227153111136434,0.6851309358293077,False
7998,8318,0.859010746305463,0.6395989134310427,False
7999,8319,0.8506468590822069,0.6501719538600368,False
8000,8320,0.8150847071781431,0.6945585377969781,False
8001,8321,0.8129083878839886,0.6972357394356945,False
8002,8322,0.8044977697147025,0.7075295268653123,False
8003,8323,0.8051280182069637,0.7067611769137945,False
8004,8324,0.8109477518007568,0.6996429604067479,False
8005,8325,0.8372768360476045,0.6669833378745683,False
8006,8326,0.8806643027508769,0.6120920910536668,False
8007,8327,0.8724662687596336,0.6225232030195529,False
8008,8328,0.8607469683996207,0.6373996601715823,False
8009,8329,0.8746115366273275,0.6197951118851146,False
8010,8330,0.8731870137908488,0.6216067858989796,False
8011,8331,0.846682280461923,0.6551696601523598,False
8012,8332,0.8500080235097418,0.6509779195639185,False
8013,8333,0.8496326793872058,0.6514513451542081,False
8014,8334,0.8562171149312506,0.6431345381063112,False
8015,8335,0.8602609116258223,0.6380154828593112,False
8016,8336,0.8595615332150844,0.6389013892487746,False
8017,8337,0.8572544862980859,0.6418220916022123,False
8018,8338,0.8509899354067396,0.6497390224500549,False
8019,8339,0.8736254988631472,0.6210491884013541,False
8020,8340,0.8736560958200159,0.6210102779893129,False
8021,8341,0.869797889673806,0.6259146842103989,False
8022,8342,0.8636902099901683,0.6336684288704868,False
8023,8343,0.8785649638348825,0.6147646642141402,False
8024,8344,0.974869778726842,0.4932083165051061,False
8025,8345,0.9536227673970337,0.5196029707386413,False
8026,8346,0.907755160505191,0.5775817203772347,False
8027,8347,0.9069144026624263,0.578651960534952,False
8028,8348,0.9048113078033982,0.5813296370250535,False
8029,8349,0.9090576615574468,0.575923978420485,False
8030,8350,0.9217602438504529,0.5597799521951694,False
8031,8351,0.9049237918530397,0.5811864030179003,False
8032,8352,0.9288474191653803,0.5507970539128704,False
8033,8353,0.9251654956209939,0.5554612450200883,False
8034,8354,0.9205745711365986,0.5612847154225011,False
8035,8355,0.929015113846969,0.5505847647213189,False
8036,8356,0.940511266969867,0.5360653611300522,False
8037,8357,0.9395770051523752,0.5372426111972886,False
8038,8358,0.9203039242614043,0.5616282702845024,False
8039,8359,0.9207989088890546,0.5609999644043814,False
8040,8360,0.8917378603921637,0.597985468611294,False
8041,8361,0.8057690192486227,0.7059792032119944,False
8042,8362,0.8128633374690826,0.697291101259387,False
8043,8363,0.8259775106804442,0.6810822578344797,False
8044,8364,0.8339764502831821,0.6711128266630756,False
8045,8365,0.9575451615384627,0.514701882760213,False
8046,8366,0.9812757430970745,0.4853316466876616,False
8047,8367,1.0004582825581598,0.462008303709708,False
8048,8368,1.029217292856359,0.42789240895610947,False
8049,8369,1.0229691797989697,0.43520935856820864,False
8050,8370,1.0388888465278336,0.41667788340448386,False
8051,8371,1.0131184379311973,0.4468549814879612,False
8052,8372,1.0299875634757558,0.42699422832487643,False
8053,8373,1.0271045545946327,0.43036036188316906,False
8054,8374,1.068684053127455,0.38304136631694996,False
8055,8375,1.206925341401001,0.2481374514001503,False
8056,8376,1.2820583103220238,0.19066947695130376,False
8057,8377,1.253958431174233,0.21085558860246967,False
8058,8378,1.2552499516992814,0.20989393366269815,False
8059,8379,1.216700148406868,0.24002464319989403,False
8060,8380,1.2329296553116413,0.2269782978721392,False
8061,8381,1.237947500562636,0.223051269374136,False
8062,8382,1.2225389936209068,0.23527018348921103,False
8063,8383,1.2321370946483725,0.22760316185104346,False
8064,8384,1.242841635721212,0.21926938360189074,False
8065,8385,1.2728403693019001,0.19712200748456854,False
8066,8386,1.286113708627059,0.18788254675563065,False
8067,8387,1.3677659243018536,0.13824716527465697,False
8068,8388,1.3765774905814325,0.13359429066932027,False
8069,8389,1.388053283641702,0.12772815275724148,False
8070,8390,1.3834717040160431,0.13004414745092852,False
8071,8391,1.3730575671748908,0.13543732206517545,False
8072,8392,1.3854201898517668,0.12905498764593815,False
8073,8393,1.3427631606353496,0.1521726766355349,False
8074,8394,1.3273971323511793,0.16127675317369705,False
8075,8395,1.2722245314486684,0.1975589515523991,False
8076,8396,1.2415116309579235,0.22029241445256997,False
8077,8397,1.2344775520737659,0.22576153595085535,False
8078,8398,1.2397468194583785,0.22165532626139095,False
8079,8399,1.2390311329570434,0.22220979620260528,False
8080,8400,1.2777534576688274,0.19366243459039723,False
8081,8401,1.2880537257824685,0.18656047845146262,False
8082,8402,1.3320621890854367,0.15846800493830226,False
8083,8403,1.3739503376156545,0.13496790649453316,False
8084,8404,1.3842605345952073,0.12964294285294498,False
8085,8405,1.4196685327086074,0.11266123740340817,False
8086,8406,1.4316076074298487,0.10737299441150916,False
8087,8407,1.5021748182626775,0.08023195909547753,False
8088,8408,1.5219725990515838,0.07377684394943473,False
8089,8409,1.4763213984853651,0.08939610303918188,False
8090,8410,1.3955369016048,0.12401854641991528,False
8091,8411,1.345754071960444,0.15044952473745332,False
8092,8412,1.4221004705901306,0.11156663591826987,False
8093,8413,1.4436795732823282,0.10224056168985673,False
8094,8414,1.428451534048993,0.1087501605800506,False
8095,8415,1.4933259073144525,0.08327248519571617,False
8096,8416,1.634870969788177,0.044985651828076345,True
8097,8417,1.6577256599406802,0.04056947982646708,True
8098,8418,1.6527207175260574,0.04150153765143472,True
8099,8419,1.5799036535087714,0.0574303453952012,False
8100,8420,1.5687819991232652,0.06029354543329235,False
8101,8421,1.5397764974739467,0.06836453404555953,False
8102,8422,1.5412372025881722,0.06793638141364766,False
8103,8423,1.5411099351026532,0.06797359117761981,False
8104,8424,1.5299281372526945,0.07131364764732517,False
8105,8425,1.563398256578178,0.061724533941937554,False
8106,8426,1.5137122167246029,0.0764128676949205,False
8107,8427,1.490205025024802,0.08436839740258084,False
8108,8428,1.5522116641181083,0.06479444331295348,False
8109,8429,1.5133885827721993,0.0765177971785822,False
8110,8430,1.498644791146091,0.08143313989190759,False
8111,8431,1.4886437786561062,0.0849213036094929,False
8112,8432,1.5093158050565252,0.07784906309844875,False
8113,8433,1.4566515160984057,0.09695918783234203,False
8114,8434,1.538748240687278,0.06866735221858566,False
8115,8435,1.5551171956852676,0.06398437977423,False
8116,8436,1.5693128380874433,0.06015405607316948,False
8117,8437,1.7738706974170986,0.02364123244146843,True
8118,8438,1.8237324644696373,0.018616989182929644,True
8119,8439,1.7989259636067418,0.02097725848863996,True
8120,8440,1.7951089597156333,0.021364235049504576,True
8121,8441,1.7988675403784715,0.02098313214262404,True
