,date,f_stat,p_value,significant
7236,7556,1.503772140527644,0.07969350768353756,False
7237,7557,1.5042306928406755,0.07953951289446892,False
7238,7558,1.5141072166748692,0.07628496984439426,False
7239,7559,1.4980182722196096,0.08164795185604135,False
7240,7560,1.6508077208115328,0.04186288575063302,True
7241,7561,1.6583307893616908,0.04045808387925476,True
7242,7562,1.6373503681156476,0.04448639624733719,True
7243,7563,1.754096036485285,0.025961454992135202,True
7244,7564,1.7413126659675084,0.027571439238107565,True
7245,7565,1.780146113828284,0.02294604098525832,True
7246,7566,1.823776379339519,0.0186130395791837,True
7247,7567,1.8152011770545935,0.019399275194166954,True
7248,7568,1.8097202407049902,0.019917905062769692,True
7249,7569,1.7725004431490612,0.023795602176527653,True
7250,7570,1.749262873389695,0.026559677318636288,True
7251,7571,1.6658966054117845,0.039088559693713276,True
7252,7572,1.6308899762606874,0.04579785413192372,True
7253,7573,1.6124012584642022,0.04974574786195973,True
7254,7574,1.5939567169462683,0.053985929518589826,False
7255,7575,1.627948377521003,0.04640646789585179,True
7256,7576,1.6029396279959511,0.05188205881524832,False
7257,7577,1.6379624893650373,0.04436391103639359,True
7258,7578,1.6663820427207918,0.03900214275875591,True
7259,7579,1.618109829228659,0.04849533891887092,True
7260,7580,1.6030728039917812,0.05185142783109886,False
7261,7581,1.5227049406698319,0.0735470249078286,False
7262,7582,1.4706929165250733,0.09150668243798243,False
7263,7583,1.4972186466232493,0.08192283017525348,False
7264,7584,1.6158337416116262,0.0489904693620673,True
7265,7585,1.6037731217362787,0.05169061844973499,False
7266,7586,1.6160158792747488,0.048950681365895976,True
7267,7587,1.6078178184040512,0.05077057261848439,False
7268,7588,1.6079989051382422,0.05072972636243622,False
7269,7589,1.6224867312806708,0.04755583128147445,True
7270,7590,1.5696037195405474,0.060077742242990895,False
7271,7591,1.549815420361757,0.0654693183966617,False
7272,7592,1.548686710101453,0.0657893506886269,False
7273,7593,1.5112258216634786,0.07722224483155127,False
7274,7594,1.5218086497194165,0.07382837952205945,False
7275,7595,1.5565116243058277,0.06359880076947078,False
7276,7596,1.6037144874707674,0.05170406509820713,False
7277,7597,1.5627973117314904,0.061886116671934666,False
7278,7598,1.5073183067181852,0.07850932691018231,False
7279,7599,1.392953079046889,0.12528911720787106,False
7280,7600,1.3857558521715385,0.12888521502017214,False
7281,7601,1.3693638908943335,0.13739367375416878,False
7282,7602,1.2759113013575656,0.1949541223500021,False
7283,7603,1.2747359531067237,0.19578168610388658,False
7284,7604,1.139626478217357,0.3091973812029467,False
7285,7605,1.1721230113065548,0.27858326055414473,False
7286,7606,1.1235237052418359,0.32513464683934745,False
7287,7607,1.1251046561545899,0.3235478215414659,False
7288,7608,1.2010696611432008,0.25308959342581383,False
7289,7609,1.1994256927954963,0.2544923082302877,False
7290,7610,1.1792230661103589,0.2721743322363055,False
7291,7611,1.2039504750821928,0.25064466496089743,False
7292,7612,1.1793114721503843,0.2720951688848,False
7293,7613,0.9858551100389639,0.47972674273209204,False
7294,7614,0.7243914792674367,0.7998373550708266,False
7295,7615,0.7368779407446059,0.7862820362005623,False
7296,7616,0.7249477016166236,0.7992412385557754,False
7297,7617,0.7118805579370269,0.8130470659549123,False
7298,7618,0.7553406508369686,0.7656113567256718,False
7299,7619,0.7290345803261944,0.7948388508701014,False
7300,7620,0.752352118257792,0.7690052440707771,False
7301,7621,0.7275307306957174,0.7964633554098196,False
7302,7622,0.7160676239878162,0.8086690783190773,False
7303,7623,0.7135344393667331,0.8113230228793866,False
7304,7624,0.7162443110912352,0.8084833721972595,False
7305,7625,0.7182482966769288,0.8063716924445175,False
7306,7626,0.6926594197053396,0.8325628916162684,False
7307,7627,0.6644604473087532,0.859344703737579,False
7308,7628,0.5912290630955106,0.917440883329817,False
7309,7629,0.5883535083223276,0.9193655644909284,False
7310,7630,0.532172790912474,0.951503831910921,False
7311,7631,0.6902942264995556,0.8348959320010761,False
