,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,3.8742556721193666,"[np.float64(2.7292467996730973e-14), np.float64(1.0644064984339922e-11), np.float64(0.354332948589667), np.float64(0.8464909041063052), np.float64(0.471833284188961), np.float64(0.5810571637983206), np.float64(2.553068222648737e-05), np.float64(0.8511167544585255), np.float64(0.9517696142537884), np.float64(0.07699248157169931), np.float64(0.17947407055045972), np.float64(0.0037959496062072743), np.float64(0.006476742831064453), np.float64(0.2623432172382407), np.float64(0.11083984341353216), np.float64(0.151588434714278), np.float64(0.9361568711825685), np.float64(0.5211204606610309), np.float64(0.286005057062066), np.float64(0.35170378940548386), np.float64(0.011460445602583351), np.float64(0.052906620507427886), np.float64(0.1118766197734575), np.float64(0.1193462116628815), np.float64(0.543371556357245), np.float64(0.8833021945747732), np.float64(0.7177864515407749), np.float64(0.008060012699975833), np.float64(0.788265531526954), np.float64(0.0004229607810500376), np.float64(0.26719875145414274), np.float64(0.05239184527672321), np.float64(0.03262400032331667), np.float64(0.8192399426969504), np.float64(0.017511805426355838), np.float64(0.07970853391276668), np.float64(0.064408012257114), np.float64(0.3289323512719571), np.float64(0.6089163591576392), np.float64(0.39802624273147436), np.float64(0.1934044569104747), np.float64(0.20448060963146053), np.float64(0.01905061886879606), np.float64(0.3742449438071149), np.float64(0.8396219465349258), np.float64(0.9659951206120967), np.float64(0.9361653635896208), np.float64(0.5783994905011928), np.float64(0.4960764801885753), np.float64(0.07997038886767537), np.float64(0.18441804688634778), np.float64(0.0410826161971427), np.float64(0.34151423376803713), np.float64(0.3876693506445804), np.float64(0.8822538329747499), np.float64(0.7853860354108375), np.float64(0.5289721503391066), np.float64(0.054289733633340255), np.float64(0.07982740780056666), np.float64(0.602597190317916), np.float64(0.04968939034081708), np.float64(0.20091570359066036), np.float64(0.034118895696002384), np.float64(0.11753125451028243), np.float64(0.6708940056121571), np.float64(0.8745638196904219), np.float64(0.5051652581220072), np.float64(0.000801061393119582), np.float64(0.668850178802474), np.float64(0.00024726616969603636), np.float64(0.9990920605824871), np.float64(0.521374940966404), np.float64(0.6723063200544269), np.float64(0.12164005688831882), np.float64(9.41290147042015e-05), np.float64(0.17717423604588234), np.float64(0.27555122290693135), np.float64(0.18538059951341324), np.float64(0.001614210986822108), np.float64(0.4700829477029417), np.float64(0.5086939262151955)]",81
BNBUSDT,,,81
BTCUSDT,1.8771344101023764,"[np.float64(0.02809371766634249), np.float64(0.8183314394068005), np.float64(0.6248472858101755), np.float64(0.19839134476716658), np.float64(0.5089623756471723), np.float64(0.22040258526215917), np.float64(0.47566510795917016), np.float64(0.09451078245023091), np.float64(0.38288058729138197), np.float64(0.5367770757884889), np.float64(0.8832250696322654), np.float64(0.7085985030930299), np.float64(0.014796895665954688), np.float64(0.0013250048186229967), np.float64(0.40182965748377497), np.float64(0.5326341185113286), np.float64(0.2193856426891203), np.float64(0.06504045467510547), np.float64(0.6495223145130427), np.float64(0.8337537091843324), np.float64(0.9611549769143686), np.float64(0.4691342398630933), np.float64(0.273173730913824), np.float64(0.0829485021226844), np.float64(0.000776397998270013), np.float64(0.5940744594941966), np.float64(0.08008884074884286), np.float64(0.6708147762708218), np.float64(0.0872362942390411), np.float64(0.09456177525739391), np.float64(0.6732137651391049), np.float64(0.2545099654898707), np.float64(0.6181946113823207), np.float64(0.9283958965070251), np.float64(0.6657083275506588), np.float64(0.8361571966982186), np.float64(0.48770028658927955), np.float64(0.601282170685749), np.float64(0.6112859516190967), np.float64(0.12192872633670766), np.float64(0.4973303056344516), np.float64(0.5171082436065689), np.float64(0.5794561149014346), np.float64(0.012431297989510249), np.float64(0.48833482745110657), np.float64(0.17728797793454498), np.float64(0.2987783003408545), np.float64(0.4534905189208419), np.float64(0.5940178034029246), np.float64(0.7828619102750534), np.float64(0.06227148346511858), np.float64(0.2160125698274693), np.float64(0.4992916354807255), np.float64(0.2276412567929702), np.float64(0.26629184745166856), np.float64(0.8964405594097238), np.float64(0.018896250208366078), np.float64(0.3290222191495332), np.float64(0.33798300606471077), np.float64(0.10653570795154269), np.float64(0.5150497779369101), np.float64(0.19025998783971132), np.float64(0.05061359021495416), np.float64(0.036233893509427205), np.float64(0.39099072886822506), np.float64(0.34648249459741676), np.float64(0.029018432160301543), np.float64(0.1028571760641719), np.float64(0.8071272752985099), np.float64(0.1096486836953989), np.float64(0.9683289638745909), np.float64(0.3958964385873366), np.float64(0.030717661944366977), np.float64(0.34007024960827625), np.float64(0.1297025898281414), np.float64(0.08470571638805596), np.float64(0.5107347708823483), np.float64(0.6703993738299039), np.float64(0.056320639750782546), np.float64(0.00015222980601735768), np.float64(0.025458418296664814)]",81
DOGEUSDT,2.779873932247812,"[np.float64(3.561508801599368e-08), np.float64(0.9532872043561458), np.float64(0.36155631789147336), np.float64(0.08405722589980241), np.float64(0.001165815440847663), np.float64(0.06914063164004795), np.float64(0.9147099304637859), np.float64(0.564325848621042), np.float64(0.02345026999741343), np.float64(0.055504512649074626), np.float64(0.04817165224317151), np.float64(0.7172795594889143), np.float64(0.08535103263082984), np.float64(0.7795048787669667), np.float64(0.8355406968016276), np.float64(0.0011033973017109922), np.float64(0.9784856850602781), np.float64(0.06961912169247035), np.float64(0.7436391971433901), np.float64(0.008833551278722991), np.float64(0.41281092967208477), np.float64(0.010618938896816319), np.float64(0.8456315641547414), np.float64(0.18686975549628415), np.float64(0.29946705655584027), np.float64(0.054817706564857946), np.float64(0.347606732091883), np.float64(0.006777189497063923), np.float64(0.101723560657433), np.float64(0.32022185731507513), np.float64(0.053804869218579215), np.float64(0.9891530972076488), np.float64(0.3958764196534432), np.float64(0.8023408033319246), np.float64(0.6021845026469743), np.float64(0.09467156717780703), np.float64(0.3938273017387599), np.float64(0.7083020500655866), np.float64(0.00038589354785498165), np.float64(0.5295209689598319), np.float64(0.8862359555829493), np.float64(0.5547787938781097), np.float64(0.1967769643703845), np.float64(0.12626005652816705), np.float64(0.22249869038627001), np.float64(0.7382273655909406), np.float64(0.01864138933717774), np.float64(0.11772761741319868), np.float64(0.1998343952180004), np.float64(0.003907239279210264), np.float64(0.7390262218990336), np.float64(0.29488894501551133), np.float64(0.2686454632584121), np.float64(0.8787685788355828), np.float64(0.1898074210277918), np.float64(0.4168055276686341), np.float64(0.055150919348998524), np.float64(0.08462055734847512), np.float64(0.9540907904553511), np.float64(0.13396894907023885), np.float64(0.692024044008974), np.float64(0.487699065650847), np.float64(0.0017537203622872693), np.float64(0.3338249542758748), np.float64(0.3694496117684345), np.float64(0.5878869977343057), np.float64(0.4384981271671601), np.float64(0.6449319444966015), np.float64(0.606595300119624), np.float64(0.15985727174891418), np.float64(0.41165344745226795), np.float64(0.4296767294778554), np.float64(0.2336624042102058), np.float64(0.37515483654785853), np.float64(0.004458849105815918), np.float64(0.025773704300169037), np.float64(0.9151781521999229), np.float64(0.13375678892119008), np.float64(0.5686922264724189), np.float64(0.00012877090754057356), np.float64(0.33235201657467484)]",81
ETHUSDT,2.4772492075093533,"[np.float64(6.701915558570028e-06), np.float64(0.9780663761392349), np.float64(0.1874101207579537), np.float64(0.29989871971716775), np.float64(0.0013723733664069405), np.float64(0.4386846149673569), np.float64(0.22682219001988368), np.float64(0.00399598993638873), np.float64(0.3241748166349888), np.float64(0.0882361606642377), np.float64(0.09530073439775359), np.float64(0.15108306532706445), np.float64(0.9946299020981882), np.float64(9.311461053533387e-05), np.float64(0.017823825815821745), np.float64(0.4627416601162363), np.float64(0.3950647882670827), np.float64(0.5444816530503431), np.float64(0.20825405533266794), np.float64(0.9431808293291101), np.float64(0.9409301444625833), np.float64(0.7354898531149614), np.float64(0.9594910118549067), np.float64(0.12858012946693462), np.float64(0.0032751423238871007), np.float64(0.9875988759419444), np.float64(0.7346098525084239), np.float64(0.717374634129047), np.float64(0.24534155547251624), np.float64(0.4371448987308322), np.float64(0.029871626989013446), np.float64(0.10354740209249384), np.float64(0.10848106457666293), np.float64(0.14687687325109064), np.float64(0.7866647323161402), np.float64(0.2776327727869785), np.float64(0.47316121040717474), np.float64(0.7121546105652683), np.float64(0.457738812936451), np.float64(0.6757555000876811), np.float64(0.004871261582914039), np.float64(0.3902830521821796), np.float64(0.24907658931465648), np.float64(0.6984759218910197), np.float64(0.057787190013681385), np.float64(0.8380732554232749), np.float64(0.21343208721101592), np.float64(0.6947334666316789), np.float64(0.17382977268838828), np.float64(0.023507428926564773), np.float64(0.14981634744429678), np.float64(0.6808146105219228), np.float64(0.4360497072021692), np.float64(0.8171572288683479), np.float64(0.5811012777431992), np.float64(0.26964985801501384), np.float64(0.1965533910330438), np.float64(0.010802772803240334), np.float64(0.6101886661387574), np.float64(0.8125068001670034), np.float64(0.0006542976458410754), np.float64(0.9234913054669183), np.float64(0.9188374960953046), np.float64(0.0044811364034808695), np.float64(0.522793130417849), np.float64(0.2131242613115385), np.float64(0.011318930447759081), np.float64(0.8625574579705271), np.float64(0.05318560662839544), np.float64(0.0049689045511854164), np.float64(0.3573261404668763), np.float64(0.6087682155523775), np.float64(0.37932122772643573), np.float64(0.5958987815034076), np.float64(0.02177656103493589), np.float64(0.010206099460018745), np.float64(0.5569727637115127), np.float64(0.5292133173950688), np.float64(0.9176427104204307), np.float64(0.3593972535241361), np.float64(0.33141233923522595)]",81
XRPUSDT,2.3850926438302573,"[np.float64(9.783138029842592e-05), np.float64(0.0015419687793996372), np.float64(0.05441377868845893), np.float64(0.6607183216310493), np.float64(0.5282670143451882), np.float64(0.2609831165979628), np.float64(0.000418840647919208), np.float64(0.13132808288137227), np.float64(0.03489637541645851), np.float64(0.2515152729044454), np.float64(0.6647291225184615), np.float64(0.8999107421062248), np.float64(0.0007941361726470267), np.float64(0.38955592314446563), np.float64(0.6973888648070672), np.float64(0.21217603689295528), np.float64(0.3780079366759823), np.float64(0.2874948691572531), np.float64(0.11042237377535473), np.float64(0.3870293319419825), np.float64(0.6348032775017193), np.float64(0.43497472076942256), np.float64(0.23531089422751228), np.float64(0.7715826593088464), np.float64(0.2433506127937387), np.float64(0.5819700098591285), np.float64(0.7147298049771598), np.float64(0.3771175691190096), np.float64(0.0972236470272651), np.float64(0.001259759841365796), np.float64(0.5376755311598412), np.float64(0.02260630194473757), np.float64(0.3865051339878276), np.float64(0.13908469612757243), np.float64(0.06200103390804746), np.float64(0.7459540686552509), np.float64(0.871237496309719), np.float64(0.6936237870762901), np.float64(0.5248150823219382), np.float64(0.5988057924925814), np.float64(0.09298382005063303), np.float64(0.19330859689158664), np.float64(0.044627343126717366), np.float64(0.8298101043435722), np.float64(0.303667095055678), np.float64(0.5956062016671606), np.float64(0.7974189223023505), np.float64(0.4914179195236288), np.float64(0.7557382060106382), np.float64(0.07299882060576009), np.float64(0.7254322899339655), np.float64(0.0028547173045252224), np.float64(0.01151841682340647), np.float64(0.6011766048460402), np.float64(0.8755828704371322), np.float64(0.7601857489843034), np.float64(0.5956699469816669), np.float64(0.8847889453614779), np.float64(0.6992060209013662), np.float64(0.3396126236702899), np.float64(0.14543227662026173), np.float64(0.5147579190080435), np.float64(0.27501373060239653), np.float64(0.8052658564506906), np.float64(0.9682283771317655), np.float64(0.7631681115139237), np.float64(0.5888326454498903), np.float64(0.2680264435897627), np.float64(0.7800520008508549), np.float64(0.27487873726750256), np.float64(0.902488313781845), np.float64(0.8686599154799542), np.float64(0.6156016779794711), np.float64(0.591654224527298), np.float64(0.774802608660528), np.float64(0.0420138099397706), np.float64(0.24103257572872416), np.float64(4.820438003182849e-07), np.float64(0.46799677786691984), np.float64(0.06992203654068702), np.float64(0.002299730965299814)]",81
