,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,2.820555682504664,"[np.float64(3.7698896483669957e-05), np.float64(0.7271429945027914), np.float64(0.08957439290550905), np.float64(0.0024062730581417766), np.float64(0.5615090374523477), np.float64(0.02270844372892698), np.float64(0.015333109572619193), np.float64(0.9427319388606615), np.float64(0.3584609193944861), np.float64(0.756637260482524), np.float64(0.14753432461646437), np.float64(0.30953779726506414), np.float64(0.005295041180154472), np.float64(0.8491487929835733), np.float64(0.8281116389273211), np.float64(0.27841704439916193), np.float64(0.8787278469870841), np.float64(0.31705960606538786), np.float64(0.7728960121784885), np.float64(0.07088303922205162), np.float64(0.026757896794460022), np.float64(0.030422422637081867), np.float64(0.6806197902620981), np.float64(0.5152834357639452), np.float64(0.37172858032194167), np.float64(0.8194235055236175), np.float64(0.3115821265728961), np.float64(0.027019419656145915), np.float64(0.8979676423130265), np.float64(0.01766206715191363), np.float64(0.5165056778286577), np.float64(0.08946390283846568), np.float64(0.5685695958016725), np.float64(0.4720559378903312), np.float64(0.0328687335196705), np.float64(0.14237471188087428), np.float64(0.0017357022647480375), np.float64(0.09649090593306568), np.float64(0.963683353244428), np.float64(0.5726472945760985), np.float64(0.018654241135445403), np.float64(0.2664629195617122), np.float64(0.17868029034492494), np.float64(0.025606183681256993), np.float64(0.09078289673093297), np.float64(0.46507582293970273), np.float64(0.023239695567928518), np.float64(0.25197914111439246), np.float64(0.25428078197390747), np.float64(0.9167187333487312), np.float64(0.07013759185904442), np.float64(0.0904509440800606), np.float64(0.7518472739069757), np.float64(0.16668755945555058), np.float64(0.5025763404796302), np.float64(0.3168678113933008), np.float64(0.33042215882962345), np.float64(0.1295752760141372), np.float64(0.2753211339491044), np.float64(0.6731469137427715), np.float64(0.02689978839166268), np.float64(0.8518914492937115), np.float64(0.37986835758268933), np.float64(0.7281939283391391), np.float64(0.36984296330659994), np.float64(0.18051365254296126), np.float64(0.5535851387129662), np.float64(0.007126343220145127), np.float64(0.3003726948773845), np.float64(0.027041644080791783), np.float64(0.41010392034851395), np.float64(0.4080205921906629), np.float64(0.3772101453693629), np.float64(0.07374663314110105), np.float64(0.002237178054008474), np.float64(0.16046082897514113), np.float64(0.01228071892394715), np.float64(0.4096096372072784), np.float64(0.002020541491366212), np.float64(0.13193139602081405), np.float64(0.9499222312977404)]",81
BNBUSDT,1.7093085352924484,"[np.float64(0.23141842787784728), np.float64(0.00821246260203482), np.float64(0.12566331240070547), np.float64(0.9362295085904312), np.float64(0.07521821628015882), np.float64(0.21717028037886577), np.float64(0.48946961417075885), np.float64(0.4260041607559254), np.float64(0.9209371338435018), np.float64(0.6693222680382562), np.float64(0.8010380778761086), np.float64(0.012446384190285204), np.float64(0.9777345607646316), np.float64(0.6551434280246466), np.float64(0.8389992791983905), np.float64(0.0035115850562773363), np.float64(0.4961892408247134), np.float64(0.989126373181762), np.float64(0.621202343423354), np.float64(0.11519691763869226), np.float64(0.32710303821647124), np.float64(0.1078806273057059), np.float64(0.7339109825608309), np.float64(0.5435306604798371), np.float64(0.048711208098491506), np.float64(0.3433662915944603), np.float64(0.3296891397851255), np.float64(0.04441331179691548), np.float64(0.4586529578426384), np.float64(0.5527465554513998), np.float64(0.38639236598095483), np.float64(0.8201442497949469), np.float64(0.039459236683957094), np.float64(0.11079736738853793), np.float64(0.25609321349763203), np.float64(0.6623362046356158), np.float64(0.3812541772138194), np.float64(0.7758173926194132), np.float64(0.6415402357603363), np.float64(0.13393206792843948), np.float64(0.048210035778921946), np.float64(0.1381075480844311), np.float64(0.1543151460885942), np.float64(0.0007899073009735886), np.float64(0.835071137997604), np.float64(0.45837662913688015), np.float64(0.0011654086981983441), np.float64(0.9402506462396555), np.float64(0.6250223571519533), np.float64(0.16541122386045737), np.float64(0.5183325815900499), np.float64(0.7365727675822878), np.float64(0.13085961472782737), np.float64(0.2365279572436435), np.float64(0.22580184841891904), np.float64(0.8615012240702341), np.float64(0.13783785427496115), np.float64(0.09905469105515141), np.float64(0.008742380193097532), np.float64(0.7962062242231883), np.float64(0.43375580643657186), np.float64(0.7961782304852337), np.float64(0.36868034193815835), np.float64(0.0576882355605163), np.float64(0.23660272506670432), np.float64(0.8071224919072129), np.float64(0.21113068970778415), np.float64(0.2160431075214061), np.float64(0.7558914806097308), np.float64(0.13475422233807355), np.float64(0.5230937029848493), np.float64(0.6647210567084125), np.float64(0.5849295517287303), np.float64(0.537859330584412), np.float64(0.07162284569125428), np.float64(0.2815106867328895), np.float64(0.6470362824912177), np.float64(0.6093539652669593), np.float64(0.01299768337455491), np.float64(0.9784229167796058), np.float64(0.10727391125037142)]",81
BTCUSDT,,,81
DOGEUSDT,1.7915114383830906,"[np.float64(0.0032623888723926847), np.float64(0.013787173998299465), np.float64(0.61202890261545), np.float64(0.16190360710116847), np.float64(0.023902886812203858), np.float64(0.9990988073525836), np.float64(0.9631510683879816), np.float64(0.8012504454517441), np.float64(0.09980475864846892), np.float64(0.004358642631513939), np.float64(0.6724879818017537), np.float64(0.26240517807542296), np.float64(0.41710053578564343), np.float64(0.09451918021329607), np.float64(0.5612049047621821), np.float64(0.022116223128214527), np.float64(0.4606479809314127), np.float64(0.993740158504506), np.float64(0.08481281773742405), np.float64(0.8949286501296619), np.float64(0.2336590037025188), np.float64(0.08076718354201307), np.float64(0.9478725182290344), np.float64(0.5338801741626492), np.float64(0.7252310141689859), np.float64(0.05013705644415534), np.float64(0.7422472537773444), np.float64(0.0941039518553637), np.float64(0.4855934569358983), np.float64(0.0821919836131717), np.float64(0.4321597661440615), np.float64(0.7797666111977369), np.float64(0.3048235455214652), np.float64(0.1949248528280747), np.float64(0.4611088112318368), np.float64(0.20474124704772234), np.float64(0.81302843314786), np.float64(0.756532136229996), np.float64(0.05814420226076927), np.float64(0.7090957893453891), np.float64(0.5193598820758767), np.float64(0.3721874100452679), np.float64(0.5519858444696815), np.float64(0.6351902824658315), np.float64(0.9883405919387399), np.float64(0.6191219492104422), np.float64(0.05632288105593907), np.float64(0.4807882848730727), np.float64(0.8602388570012788), np.float64(0.07927221574567674), np.float64(0.7655171153450413), np.float64(0.998412938266486), np.float64(0.16647566614279774), np.float64(0.3199688552614346), np.float64(0.11698224914920752), np.float64(0.5814753542248474), np.float64(0.37597102392824855), np.float64(0.8408383839234321), np.float64(0.8743069837891175), np.float64(0.5025449149961423), np.float64(0.638391470025528), np.float64(0.5140045123558357), np.float64(0.0037406172879029535), np.float64(0.5791978478258177), np.float64(0.8604941759529716), np.float64(0.5834803615308712), np.float64(0.5581752156484363), np.float64(0.5127555499024609), np.float64(0.3130510114426769), np.float64(0.0009629371182558964), np.float64(0.34501896542568655), np.float64(0.9840216558099434), np.float64(0.1969568875471176), np.float64(0.6752649175959337), np.float64(0.005118149050371387), np.float64(0.00039184401642254575), np.float64(0.40422609299532086), np.float64(0.07981970834999676), np.float64(0.4415338905079699), np.float64(0.026605915704449097), np.float64(0.7394785526572305)]",81
ETHUSDT,1.3095003169665107,"[np.float64(0.021023820388707717), np.float64(0.04297614824132806), np.float64(0.3984088163624767), np.float64(0.7944691607792648), np.float64(0.09392024096865134), np.float64(0.6340396091995573), np.float64(0.8667320777540318), np.float64(0.5407711845169654), np.float64(0.4101383147691805), np.float64(0.8272963349783307), np.float64(0.10118173630912967), np.float64(0.6887318302166932), np.float64(0.23764045244263166), np.float64(4.868090967704678e-05), np.float64(0.030207430742388176), np.float64(0.913438032455795), np.float64(0.20482611516185822), np.float64(0.5483203480064172), np.float64(0.4806182042654714), np.float64(0.3565047541194908), np.float64(0.5182008890112588), np.float64(0.8249274643069073), np.float64(0.45996953436831933), np.float64(0.25316789602674417), np.float64(0.1493188517019933), np.float64(0.6731469511415344), np.float64(0.26399716213059676), np.float64(0.12167614890103111), np.float64(0.9340214161888448), np.float64(0.6808727847636533), np.float64(0.7600936759818123), np.float64(0.9817265255443824), np.float64(0.7933600567433673), np.float64(0.46697002546957933), np.float64(0.420996740523907), np.float64(0.27186986971417815), np.float64(0.8359305752026929), np.float64(0.6438764461449848), np.float64(0.8800530520436958), np.float64(0.8841281980415524), np.float64(0.4132844468916663), np.float64(0.8901487797490802), np.float64(0.925394545416336), np.float64(0.980659807426163), np.float64(0.19592703099227748), np.float64(0.8057449550983741), np.float64(0.5004320042008095), np.float64(0.46731203762465867), np.float64(0.4703606601855609), np.float64(0.45327377192176854), np.float64(0.24495967621440995), np.float64(0.916068311831281), np.float64(0.7973302726543551), np.float64(0.2508008636020783), np.float64(0.7434835488640619), np.float64(0.5769066343996418), np.float64(0.06751011063666452), np.float64(0.7684261528935084), np.float64(0.8031370257008825), np.float64(0.9105969565862616), np.float64(0.000879948581822704), np.float64(0.6210286076842322), np.float64(0.7140516945167407), np.float64(0.012641057280747084), np.float64(0.20852593303662392), np.float64(0.7138146572751654), np.float64(0.024991185212140138), np.float64(0.7680588815689947), np.float64(0.07562879376676071), np.float64(0.11182865004053667), np.float64(0.3582922331838613), np.float64(0.9517978801576995), np.float64(0.9466990375308514), np.float64(0.25571281004057156), np.float64(0.11852573805728049), np.float64(0.2650774249004413), np.float64(0.36448868267730106), np.float64(0.9197205143763966), np.float64(0.8509970650104755), np.float64(0.476759550326492), np.float64(0.28591778169643767)]",81
XRPUSDT,1.5569891868934622,"[np.float64(0.33306854005935904), np.float64(0.07100247340837403), np.float64(0.2766783477730981), np.float64(0.9724914091359914), np.float64(0.8078372026825437), np.float64(0.7559933721053477), np.float64(0.026240987001295114), np.float64(0.08566889413297918), np.float64(0.06996019824899646), np.float64(0.03882005446567557), np.float64(0.31902193772904053), np.float64(0.3076954385262489), np.float64(0.0016943014620541725), np.float64(0.41501079062249935), np.float64(0.7071953918856915), np.float64(0.32123285060776685), np.float64(0.10619550725949338), np.float64(0.331472333564952), np.float64(0.06798564339563998), np.float64(0.08389937447316226), np.float64(0.900285947566722), np.float64(0.3393973535514092), np.float64(0.2527455448130763), np.float64(0.20032629353397968), np.float64(0.7309770068952877), np.float64(0.5066210362970365), np.float64(0.9727310009933305), np.float64(0.3268638630985464), np.float64(0.1516697181893776), np.float64(0.05814552878571922), np.float64(0.09466598457891987), np.float64(0.7818175028285019), np.float64(0.5786024857982495), np.float64(0.07276215345886239), np.float64(0.05595720835191281), np.float64(0.2568242286565424), np.float64(0.13261133238427145), np.float64(0.24579087440275404), np.float64(0.5407764983114844), np.float64(0.8204856176261786), np.float64(0.11819368040681169), np.float64(0.3616903623495715), np.float64(0.9704420154390128), np.float64(0.8368693093711129), np.float64(0.2690040875337638), np.float64(0.6192373502108757), np.float64(0.3465593380985119), np.float64(0.4428583523201778), np.float64(0.7480991336633167), np.float64(0.3214589994383499), np.float64(0.11781455772693412), np.float64(0.014392254331213787), np.float64(0.005006099939553719), np.float64(0.3537764202725726), np.float64(0.7896732064164276), np.float64(0.7759211735589876), np.float64(0.8361530578727648), np.float64(0.8678940200427225), np.float64(0.5695904000875185), np.float64(0.27385264641801754), np.float64(0.18618488801270883), np.float64(0.7270564260382428), np.float64(0.13346643081722043), np.float64(0.6255796746834983), np.float64(0.674175267390158), np.float64(0.398922191962642), np.float64(0.7016654848086079), np.float64(0.6905507554785162), np.float64(0.14968514315380113), np.float64(0.992247315843473), np.float64(0.47385012321122477), np.float64(0.33897044715746016), np.float64(0.8617634500512372), np.float64(0.39614505887509155), np.float64(0.3146962653469404), np.float64(0.2655318813295612), np.float64(0.05229340760525585), np.float64(0.0011078313217017198), np.float64(0.7464170105755757), np.float64(0.32687266890656785), np.float64(0.423608810764037)]",81
