,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,,,81
BNBUSDT,2.461852231602046,"[np.float64(0.08657884677576694), np.float64(7.919243304455011e-05), np.float64(0.059075428570671676), np.float64(0.0776090311575929), np.float64(0.3805298200728717), np.float64(0.0001517085286388401), np.float64(0.875442440330074), np.float64(0.37799131169650324), np.float64(0.059268764809899135), np.float64(0.42096106504501907), np.float64(0.7716053156022986), np.float64(0.5521735487526915), np.float64(0.7048973968455757), np.float64(0.7066331556881194), np.float64(0.07350746612321021), np.float64(8.472591938751761e-05), np.float64(0.5172660519717825), np.float64(0.40207869766555304), np.float64(0.731739123317737), np.float64(0.002485578269234713), np.float64(0.6166156714155488), np.float64(0.44930247059254835), np.float64(0.8286627702915069), np.float64(0.6646864994321179), np.float64(0.11713708727592166), np.float64(0.17166601420781036), np.float64(0.49224295787140826), np.float64(0.4507991012317252), np.float64(0.58076549800708), np.float64(0.8675675638788491), np.float64(0.6741098803209125), np.float64(0.5529694415322984), np.float64(0.5858562860067009), np.float64(0.5895277796492537), np.float64(0.1280505240376881), np.float64(0.5001583925505896), np.float64(0.06764643699413177), np.float64(0.465364156997498), np.float64(0.1771314294924624), np.float64(0.9611718973268332), np.float64(0.17432342234037002), np.float64(0.25189217192188185), np.float64(0.743901688539104), np.float64(0.0006540346020128459), np.float64(0.013400287238262091), np.float64(0.08070743697932353), np.float64(0.01251801548651971), np.float64(0.40347499765183803), np.float64(0.21086325966066743), np.float64(0.3478954251837735), np.float64(0.0104871949732555), np.float64(0.07380521441637806), np.float64(0.9369316061549177), np.float64(0.010150048937717225), np.float64(0.35538421235258155), np.float64(0.4263687917449145), np.float64(0.39761177749998877), np.float64(0.006635398381044021), np.float64(0.0014315399467969246), np.float64(0.28425439374329275), np.float64(0.4277866634970746), np.float64(0.8628924072408499), np.float64(0.45705975865685233), np.float64(0.0050496397515933785), np.float64(0.22456857665124919), np.float64(0.8108005938914244), np.float64(0.762932780175144), np.float64(0.3785118266512021), np.float64(0.19425650087030877), np.float64(0.7004771974615616), np.float64(0.6622747207828965), np.float64(0.3257479103918274), np.float64(0.4036419754409707), np.float64(0.3155701106346892), np.float64(0.043305298158503), np.float64(0.37264389832223266), np.float64(0.06343248551385719), np.float64(0.45487586754923093), np.float64(0.0005968252242348183), np.float64(0.3013620082113052), np.float64(0.16347391394534716)]",81
BTCUSDT,2.300034956940104,"[np.float64(0.13458862534423946), np.float64(0.8911844367358598), np.float64(0.746202077149815), np.float64(0.012297147546442993), np.float64(0.07714985347065346), np.float64(0.3114822558482069), np.float64(0.8101229597336683), np.float64(0.5016319983650931), np.float64(0.5558964408776252), np.float64(0.44100662307824845), np.float64(0.3662118893624703), np.float64(0.008995075251362014), np.float64(0.26473162139767403), np.float64(0.07956766464629561), np.float64(0.0020503995823148136), np.float64(0.5954064687742847), np.float64(0.3398868328469653), np.float64(0.01630686494346961), np.float64(0.8143562442378186), np.float64(0.8720070070222801), np.float64(0.14263932595269105), np.float64(0.06364108836865282), np.float64(0.1514577803389114), np.float64(0.18103498178433064), np.float64(0.010093093566586947), np.float64(0.5095175218370158), np.float64(0.0020426932861500784), np.float64(0.9045286715485032), np.float64(0.16274842758467867), np.float64(0.6952138873303937), np.float64(0.284286226826059), np.float64(0.157422888077283), np.float64(0.7577830760281037), np.float64(0.8014068896286584), np.float64(0.9802031158580108), np.float64(0.7138496126682283), np.float64(0.14041683257854018), np.float64(0.6070824174555141), np.float64(0.6138431925965588), np.float64(0.002612359467670696), np.float64(0.8836497415205973), np.float64(0.04024197927046094), np.float64(0.45702264456839614), np.float64(0.02078401241621564), np.float64(0.44337877140490645), np.float64(0.24151245223914763), np.float64(0.0028351784703496297), np.float64(0.7780244738270622), np.float64(0.9029356908106964), np.float64(0.9064841012742955), np.float64(0.1562454999727559), np.float64(0.07951555216617602), np.float64(0.27648949594351246), np.float64(0.022042147144301017), np.float64(0.1454887629761871), np.float64(0.3551198305058829), np.float64(0.5661960926620389), np.float64(0.9488758723471487), np.float64(0.5107716308856753), np.float64(0.055590260322654454), np.float64(0.01995169045109442), np.float64(0.3982558491225806), np.float64(0.06062598751254115), np.float64(0.03446572189492362), np.float64(0.804623154598196), np.float64(0.4253999422993465), np.float64(0.010525310241068935), np.float64(0.2203651097512762), np.float64(0.21622242680718595), np.float64(0.06303265320431999), np.float64(0.5178835900826951), np.float64(0.502425685816892), np.float64(0.6822843305697486), np.float64(0.98316368870791), np.float64(0.19485312485917705), np.float64(0.4143597709027701), np.float64(0.6456991531249401), np.float64(0.11711790135703831), np.float64(0.061049871894592905), np.float64(0.00014694173850034927), np.float64(0.006063310169722201)]",81
DOGEUSDT,2.507661246084509,"[np.float64(0.002417279865192778), np.float64(0.24550039634667653), np.float64(0.9063412988098835), np.float64(0.2094815717545906), np.float64(0.054282647859142386), np.float64(0.17732528135042813), np.float64(0.8924516372887494), np.float64(0.43971968736555234), np.float64(0.06726244872385637), np.float64(0.1302402967893238), np.float64(0.15966144694521456), np.float64(0.041473212514155255), np.float64(0.25519804361872955), np.float64(0.18999983560773892), np.float64(0.022463771666667416), np.float64(0.08654135094372015), np.float64(0.7924556682412776), np.float64(0.3350503055146715), np.float64(0.24342952470407653), np.float64(0.002012494302842133), np.float64(0.147443124626627), np.float64(0.0028695324049876555), np.float64(0.10560835539564283), np.float64(0.9516075401468589), np.float64(0.712403104544155), np.float64(0.0252750798136648), np.float64(0.3968170038548007), np.float64(0.02039316452340442), np.float64(0.02573748738770405), np.float64(0.287290397244483), np.float64(0.13137090444627939), np.float64(0.8233504295003973), np.float64(0.22192999134135072), np.float64(0.22511835415955306), np.float64(0.0520448452663967), np.float64(0.9122842586835305), np.float64(0.858069195794211), np.float64(0.041482673882849895), np.float64(0.007472161518736859), np.float64(0.03239235261259735), np.float64(0.7360438502278609), np.float64(0.29216244224327914), np.float64(0.8565466874875527), np.float64(0.05722447433853529), np.float64(0.7355171459121181), np.float64(0.12637453683083869), np.float64(0.7157111934246945), np.float64(0.8031199284395845), np.float64(0.19035226433005537), np.float64(0.06446820029198576), np.float64(0.08120461094288808), np.float64(0.11348345834120636), np.float64(0.15202916854318635), np.float64(0.34830571809987754), np.float64(0.09740452271573644), np.float64(0.6040909404015936), np.float64(0.21536035992976665), np.float64(0.5065718857021455), np.float64(0.1615639844116239), np.float64(0.18633799540076268), np.float64(0.13378674677611307), np.float64(0.45551660149543727), np.float64(0.12034437644183651), np.float64(0.6113474659354307), np.float64(0.9790121230692116), np.float64(0.976236594009925), np.float64(0.757210908915845), np.float64(0.2730996402207021), np.float64(0.7466850225219472), np.float64(0.0007799003376854797), np.float64(0.8069919695088973), np.float64(0.5020338999489649), np.float64(0.545071191300221), np.float64(0.5114554650920428), np.float64(0.30212963758385647), np.float64(0.001406078879419131), np.float64(0.8301155259650096), np.float64(4.034177060527745e-05), np.float64(0.01723118267454455), np.float64(0.014520237482759182), np.float64(0.44972814987410015)]",81
ETHUSDT,2.7573513990803566,"[np.float64(0.006011896124856581), np.float64(0.4859618579839492), np.float64(0.020946219356397254), np.float64(0.013906766649968776), np.float64(0.029629567565957284), np.float64(0.4769860258026605), np.float64(0.6430018627432965), np.float64(0.026623447974104406), np.float64(0.4059811757931804), np.float64(0.6849226996876854), np.float64(0.7779272243965705), np.float64(0.7907421142558976), np.float64(0.7738454967968693), np.float64(5.938175245625657e-06), np.float64(0.01595325303525287), np.float64(0.2586525022618855), np.float64(0.3234953957870388), np.float64(0.49556200718653864), np.float64(0.33542460733812696), np.float64(0.6252352740215594), np.float64(0.026369227375013213), np.float64(0.8502245091909546), np.float64(0.08020773073547487), np.float64(0.6438501922418733), np.float64(0.0007193491482306642), np.float64(0.6576951719596945), np.float64(0.006855763170254371), np.float64(0.1922900995691098), np.float64(0.13167397433040565), np.float64(0.12590612908252335), np.float64(0.03588742834506617), np.float64(0.9299256900934846), np.float64(0.9499981410062972), np.float64(0.06244234736499108), np.float64(0.33017228294586176), np.float64(0.853485732019075), np.float64(0.17541031681527552), np.float64(0.06449443880248307), np.float64(0.5035659150724836), np.float64(0.1335572439589192), np.float64(0.01802524555647449), np.float64(0.9221007762500532), np.float64(0.5482543302686901), np.float64(0.5042623281044656), np.float64(0.00025163703359450844), np.float64(0.606495228886651), np.float64(0.002289235596751513), np.float64(0.896200673055112), np.float64(0.19569065239065975), np.float64(0.02850228651373952), np.float64(0.18601680039668478), np.float64(0.3424130826430851), np.float64(0.4441305368280255), np.float64(0.9085150679086238), np.float64(0.3813004249728129), np.float64(0.4889762649927397), np.float64(0.43716485997924537), np.float64(0.03115219949477779), np.float64(0.81197625704711), np.float64(0.13133623293228072), np.float64(4.4852460267794876e-05), np.float64(0.9422017294733207), np.float64(0.918611553998409), np.float64(0.00030212884838143187), np.float64(0.10826978850610598), np.float64(0.3382924860967854), np.float64(0.1089396724735994), np.float64(0.7621911150946197), np.float64(0.9940092094169631), np.float64(0.006041034528485601), np.float64(0.41541854707994763), np.float64(0.5145840045034875), np.float64(0.9355377319702771), np.float64(0.4873854641056662), np.float64(0.06301625362010926), np.float64(0.02119750994128831), np.float64(0.7560510330376736), np.float64(0.9893450398862118), np.float64(0.7209145847396621), np.float64(0.4567018461978811), np.float64(0.1852927341495384)]",81
XRPUSDT,3.3482003655936747,"[np.float64(1.3163359255110522e-15), np.float64(0.03733074483109796), np.float64(0.7594498023002709), np.float64(0.19075043186334317), np.float64(0.26588164121122104), np.float64(0.5313364748814791), np.float64(0.0022533039139230374), np.float64(0.514224072365848), np.float64(0.3294799298552693), np.float64(0.1758074908690761), np.float64(0.4841393631266313), np.float64(0.2292951863557564), np.float64(9.12381996864439e-06), np.float64(0.9669929489924057), np.float64(0.3739303170597411), np.float64(0.4728028819011715), np.float64(0.7023448046011249), np.float64(0.8442613743417021), np.float64(0.03917718378923589), np.float64(0.701920760205118), np.float64(0.5026429648136981), np.float64(0.05655026501306533), np.float64(0.7263530452064035), np.float64(0.370269117773776), np.float64(0.010320762419952662), np.float64(0.7446456225995706), np.float64(0.3444473822890115), np.float64(0.421759510424783), np.float64(0.014239107128639282), np.float64(0.001525595900513952), np.float64(0.48915118347249864), np.float64(0.24130703779414264), np.float64(0.8232335461584261), np.float64(0.40953794041598224), np.float64(0.07882457766350832), np.float64(0.248570179959257), np.float64(0.18585576102062462), np.float64(0.5480693010853667), np.float64(0.2877788644367614), np.float64(0.4491388439625631), np.float64(0.051332521882623314), np.float64(0.5972979339646591), np.float64(0.18500275036275982), np.float64(0.5589218057930945), np.float64(0.25964198494396296), np.float64(0.653895400046276), np.float64(0.5994719965081474), np.float64(0.7457284067634693), np.float64(0.48719735489877214), np.float64(0.6249608426168412), np.float64(0.5859360106522955), np.float64(2.971152358577933e-05), np.float64(0.12185706594936256), np.float64(0.48396612623802027), np.float64(0.1484651719369676), np.float64(0.2661466578325514), np.float64(0.5264385279483454), np.float64(0.3273394308963553), np.float64(0.10640191102033694), np.float64(0.34260334624153854), np.float64(0.00031701760139116707), np.float64(0.2467775930799928), np.float64(0.9116781040198447), np.float64(0.4118216861862747), np.float64(0.008263438730488808), np.float64(0.3342454359962429), np.float64(0.5702928413595101), np.float64(0.019464437111488885), np.float64(0.7619199011717792), np.float64(0.9724020457230657), np.float64(0.3398232660101226), np.float64(0.8528941031587742), np.float64(0.8272203347919924), np.float64(0.9785267865816153), np.float64(0.30963377321030716), np.float64(0.054611355729697), np.float64(0.5279866935570114), np.float64(4.7434281580858066e-07), np.float64(0.7138553243288702), np.float64(0.08242391428447866), np.float64(0.3276478268210038)]",81
