,test_statistic,coefficient_p_value,optimal_lag
ADAUSDT,3.4216928144076384,"[np.float64(0.00787097460999834), np.float64(0.10851294649919066), np.float64(0.9424591590865149)]",3
BNBUSDT,0.819535312719649,"[np.float64(0.6187897269516475), np.float64(0.7495224139153533), np.float64(0.17418634241929165)]",3
BTCUSDT,,,3
DOGEUSDT,0.7703482010170578,"[np.float64(0.6404428550871479), np.float64(0.3842046386502067), np.float64(0.23560283997693898)]",3
ETHUSDT,0.16387022235294627,"[np.float64(0.6641408684719857), np.float64(0.8117420497212854), np.float64(0.6352784344996609)]",3
XRPUSDT,1.26454011629547,"[np.float64(0.10070556671112592), np.float64(0.24635702738104082), np.float64(0.9842232615320675)]",3
