,date,f_stat,p_value,significant
0,320,0.7232716976493035,0.8010352151668307,False
1,321,0.7151282087423554,0.8096551440002782,False
2,322,0.7338636377517581,0.7895870470203943,False
3,323,0.7203611103463649,0.8041346613441438,False
4,324,0.7502272258730003,0.7714074075198247,False
5,325,0.7703785178943716,0.7482733137906576,False
6,326,0.7788893727257186,0.7382804395997931,False
7,327,0.7964431323446888,0.7173032979918406,False
8,328,0.8029015624646398,0.7094732272207922,False
9,329,0.8315278602004226,0.6741706613168199,False
10,330,0.8397853577544441,0.6638388527747737,False
11,331,0.9615100224318989,0.5097600560991129,False
12,332,1.0824418300753709,0.3680066634049721,False
13,333,1.0504695375046023,0.4034357538115574,False
14,334,1.0431016240579771,0.4118367586904488,False
15,335,1.0374307560559028,0.41835971443186826,False
16,336,1.0172407171460216,0.4419656121118455,False
17,337,1.0060890639519975,0.455243682560291,False
18,338,0.9858376042225251,0.47974812654190047,False
19,339,0.9543110750758066,0.5187420721861373,False
20,340,0.9734013018929906,0.49501962888238993,False
21,341,0.9561921979690508,0.5163910936961598,False
22,342,0.9866989015884482,0.47869642142983326,False
23,343,0.9915738673451402,0.47275907716641374,False
24,344,0.9432132671426291,0.5326635734272669,False
25,345,0.9439270623376957,0.5317656694189257,False
26,346,0.9331098981879739,0.5454052207633451,False
27,347,0.8929313152235476,0.5964646625541286,False
28,348,0.8967497986213657,0.5915989023585035,False
29,349,0.9553451242606501,0.5174494100479221,False
30,350,0.9667750906877365,0.5032179391468498,False
31,351,0.9947216441235532,0.46893951578208937,False
32,352,0.9688472049871306,0.5006498832262356,False
33,353,0.9543449408761896,0.5186997238240754,False
34,354,0.9721580897565911,0.49655469521893325,False
35,355,0.9282372237028766,0.5515696249934082,False
36,356,0.9474283524385579,0.5273660653025107,False
37,357,0.9403387591697526,0.5362826968455092,False
38,358,0.932525150824515,0.5461443714734024,False
39,359,0.940732208950961,0.5357870310557828,False
40,360,0.9464925817982167,0.5285411321913622,False
41,361,1.0020363518991056,0.460108533154299,False
42,362,0.9960043022206903,0.4673863936403193,False
43,363,0.9911656329624459,0.4732552611216365,False
44,364,0.7938988843197549,0.7203721726728031,False
45,365,0.835554379567377,0.6691396071195785,False
46,366,0.7088160909923596,0.8162232068188969,False
47,367,0.6791703213789445,0.845659128187475,False
48,368,0.6949722320688013,0.8302666994998924,False
49,369,0.7089429930723391,0.816092156036176,False
50,370,0.7163101800278664,0.8084141211661849,False
51,371,0.7835470371302813,0.7327606642858442,False
52,372,0.7707199452259131,0.7478748398880236,False
53,373,0.7823129759665558,0.734226540621032,False
54,374,0.6722124908292693,0.8522116037240813,False
55,375,0.6634768762953696,0.8602369474925584,False
56,376,0.657531998884671,0.8655676825752971,False
57,377,0.6486680646799501,0.8733153072897976,False
58,378,0.6724663861865426,0.8519749779460792,False
59,379,0.6232191686747436,0.894186872419562,False
60,380,0.5623396869510954,0.9355319839001801,False
61,381,0.540049417617016,0.9476163500675584,False
62,382,0.6102426024199528,0.9040255771085917,False
63,383,0.6555008693793989,0.867364358205823,False
64,384,0.5400941593422011,0.9475937031746715,False
65,385,0.525844099920928,0.9544852661795965,False
66,386,0.5747419817059339,0.9281038705655542,False
67,387,0.5814836591326329,0.9238526588898794,False
68,388,0.5937351241426901,0.9157411460931433,False
69,389,0.6140508931252452,0.9011952697562053,False
70,390,0.5818637197445888,0.9236085110072778,False
71,391,0.5710638835204402,0.9303597705897441,False
72,392,0.5434611173745193,0.9458710363601828,False
73,393,0.54919201479722,0.9428549266796931,False
74,394,0.7099636742495896,0.8150366072933317,False
75,395,0.69129342370683,0.8339121962491847,False
76,396,0.7079761711621594,0.8170895429492522,False
77,397,0.7414840123208744,0.781192846167527,False
78,398,0.7198955835079098,0.8046284931933315,False
79,399,0.7338717831284693,0.7895781436158908,False
80,400,0.7198182848521506,0.8047104407111586,False
81,401,0.7537602812010034,0.7674083058757819,False
82,402,0.7696713313176113,0.7490980027958432,False
83,403,0.774442859850736,0.7435166731070282,False
84,404,0.7701447483158561,0.7485460233752692,False
85,405,0.8053175179538522,0.7065300551951845,False
86,406,0.7948784154381563,0.7191917431504987,False
87,407,0.8201587740261828,0.6882963765190987,False
88,408,0.8606292010591855,0.6375488784903236,False
89,409,0.8286638099767188,0.677740656709938,False
90,410,0.9175473650083359,0.5651288326338524,False
91,411,0.9285401991445879,0.5511860053467665,False
92,412,0.9306296998936294,0.5485414873853475,False
93,413,0.917263323903641,0.5654896792264066,False
94,414,0.9202988677314918,0.5616346892104144,False
95,415,0.8945163827139119,0.5944448276504091,False
96,416,0.8985019897782681,0.5893663396400559,False
97,417,0.9131982612948248,0.5706565887700576,False
98,418,0.9154417226229151,0.5678044379867678,False
99,419,0.903169768564767,0.583420140501695,False
100,420,0.8942320763067847,0.5948071143655282,False
101,421,0.9137757904635126,0.5699222335835143,False
102,422,0.8766641001955091,0.6171838152385534,False
103,423,0.8760085727181508,0.6180178942552004,False
104,424,0.886642712577671,0.6044775813157583,False
105,425,0.8810419624293871,0.6116112265607259,False
106,426,0.8795469112198221,0.6135146927698543,False
107,427,0.8463099417669108,0.6556385131594182,False
108,428,0.8556319838791681,0.6438745822763423,False
109,429,0.8623127745461259,0.6354151052680059,False
110,430,0.8660533792687479,0.6306699959028931,False
111,431,0.8656384667419155,0.6311966012703265,False
112,432,0.8727294980705634,0.6221885274906012,False
113,433,0.88300147219343,0.6091158725059926,False
114,434,0.876986256749905,0.6167738744797912,False
115,435,0.8682130035052614,0.6279279911300796,False
116,436,0.9276869958332077,0.5522664148016352,False
