,ADF_statistic,ADF_p_value,KPSS_statistic,KPSS_p_value,is_stationary
ADAUSDT,-21.79793731728539,0.0,0.09132466247406834,0.1,True
BNBUSDT,-31.39017602071821,0.0,0.12645148894433605,0.1,True
BTCUSDT,-22.44140138958934,0.0,0.1026695651791358,0.1,True
DOGEUSDT,-22.174811157279898,0.0,0.06473305934982579,0.1,True
ETHUSDT,-21.779783097412153,0.0,0.11720705865087594,0.1,True
XRPUSDT,-20.345002271841725,0.0,0.1326081235894319,0.1,True
