,ADF_statistic,ADF_p_value,KPSS_statistic,KPSS_p_value,is_stationary
ADAUSDT,-31.25599024942338,0.0,0.060703548125747436,0.1,True
BNBUSDT,-30.007354993632962,0.0,0.02021798980930073,0.1,True
BTCUSDT,-33.06932918724754,0.0,0.08519685737001584,0.1,True
DOGEUSDT,-30.114544133726106,0.0,0.054607691382842716,0.1,True
ETHUSDT,-28.15796321294176,0.0,0.1449860664099761,0.1,True
XRPUSDT,-30.48169607127902,0.0,0.023676070711865362,0.1,True
