Local time,Open,High,Low,Close,Volume
01.08.2024 00:15:38.000 GMT+0100,1.28562,1.28562,1.28562,1.28562,1.8
01.08.2024 00:15:41.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,1.8
01.08.2024 00:15:44.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,1.8
01.08.2024 00:15:49.000 GMT+0100,1.28562,1.28562,1.28562,1.28562,0.9
01.08.2024 00:15:59.000 GMT+0100,1.28555,1.28555,1.28554,1.28554,2.7000000000000006
01.08.2024 00:16:00.000 GMT+0100,1.28557,1.28557,1.28556,1.28557,3.1500000000000004
01.08.2024 00:16:01.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,1.35
01.08.2024 00:16:04.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:16:06.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:16:10.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:16:13.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:14.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:18.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:16:19.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:16:22.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:23.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:26.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:27.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:16:36.000 GMT+0100,1.28557,1.28574,1.28557,1.28574,14.63
01.08.2024 00:16:37.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,1.8
01.08.2024 00:16:38.000 GMT+0100,1.28572,1.28577,1.28572,1.28575,5.4
01.08.2024 00:16:48.000 GMT+0100,1.28577,1.28577,1.28575,1.28575,1.8
01.08.2024 00:16:51.000 GMT+0100,1.28576,1.28576,1.28575,1.28575,1.8
01.08.2024 00:16:56.000 GMT+0100,1.28577,1.28577,1.28575,1.28575,1.8
01.08.2024 00:16:57.000 GMT+0100,1.28576,1.28576,1.28576,1.28576,0.9
01.08.2024 00:16:59.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,0.9
01.08.2024 00:17:00.000 GMT+0100,1.28577,1.28577,1.28575,1.28575,1.8
01.08.2024 00:17:01.000 GMT+0100,1.28578,1.28578,1.28576,1.28576,1.8
01.08.2024 00:17:05.000 GMT+0100,1.28578,1.28580,1.28578,1.28580,1.8
01.08.2024 00:17:06.000 GMT+0100,1.28582,1.28582,1.28582,1.28582,0.9
01.08.2024 00:17:07.000 GMT+0100,1.28582,1.28582,1.28582,1.28582,0.9
01.08.2024 00:17:09.000 GMT+0100,1.28584,1.28584,1.28584,1.28584,1.35
01.08.2024 00:17:13.000 GMT+0100,1.28582,1.28582,1.28582,1.28582,0.9
01.08.2024 00:17:16.000 GMT+0100,1.28583,1.28583,1.28583,1.28583,0.9
01.08.2024 00:17:32.000 GMT+0100,1.28580,1.28581,1.28579,1.28581,4.500000000000001
01.08.2024 00:17:33.000 GMT+0100,1.28578,1.28578,1.28578,1.28578,0.9
01.08.2024 00:17:36.000 GMT+0100,1.28580,1.28580,1.28580,1.28580,0.9
01.08.2024 00:17:39.000 GMT+0100,1.28580,1.28580,1.28580,1.28580,0.9
01.08.2024 00:17:41.000 GMT+0100,1.28579,1.28579,1.28579,1.28579,0.9
01.08.2024 00:17:42.000 GMT+0100,1.28579,1.28579,1.28579,1.28579,1.8
01.08.2024 00:17:44.000 GMT+0100,1.28578,1.28578,1.28578,1.28578,0.9
01.08.2024 00:17:46.000 GMT+0100,1.28580,1.28580,1.28580,1.28580,1.8
01.08.2024 00:17:50.000 GMT+0100,1.28579,1.28579,1.28579,1.28579,1.8
01.08.2024 00:17:56.000 GMT+0100,1.28575,1.28575,1.28574,1.28574,3.6
01.08.2024 00:17:57.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,1.8
01.08.2024 00:17:58.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:18:13.000 GMT+0100,1.28574,1.28575,1.28574,1.28575,4.5
01.08.2024 00:18:35.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,1.8
01.08.2024 00:18:36.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:18:38.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,1.8
01.08.2024 00:18:48.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,1.8
01.08.2024 00:19:20.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,1.8
01.08.2024 00:20:20.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,0.9
01.08.2024 00:20:21.000 GMT+0100,1.28575,1.28575,1.28575,1.28575,1.8
01.08.2024 00:20:30.000 GMT+0100,1.28575,1.28576,1.28575,1.28576,2.7000000000000006
01.08.2024 00:20:42.000 GMT+0100,1.28576,1.28578,1.28576,1.28578,2.7000000000000006
01.08.2024 00:20:47.000 GMT+0100,1.28580,1.28581,1.28580,1.28581,2.7000000000000006
01.08.2024 00:20:57.000 GMT+0100,1.28582,1.28582,1.28582,1.28582,1.8
01.08.2024 00:21:20.000 GMT+0100,1.28581,1.28581,1.28581,1.28581,1.8
01.08.2024 00:21:30.000 GMT+0100,1.28580,1.28580,1.28580,1.28580,0.9
01.08.2024 00:22:00.000 GMT+0100,1.28581,1.28581,1.28581,1.28581,1.8
01.08.2024 00:22:20.000 GMT+0100,1.28581,1.28581,1.28581,1.28581,2.7
01.08.2024 00:22:57.000 GMT+0100,1.28580,1.28580,1.28579,1.28579,2.7000000000000006
01.08.2024 00:23:08.000 GMT+0100,1.28576,1.28576,1.28574,1.28574,2.7000000000000006
01.08.2024 00:23:09.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,1.8
01.08.2024 00:23:42.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,3.6
01.08.2024 00:23:52.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:24:00.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,1.8
01.08.2024 00:24:16.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,3.6
01.08.2024 00:24:17.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,1.8
01.08.2024 00:24:19.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,0.9
01.08.2024 00:25:14.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,0.9
01.08.2024 00:25:17.000 GMT+0100,1.28569,1.28570,1.28567,1.28567,2.7000000000000006
01.08.2024 00:25:18.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,0.9
01.08.2024 00:25:20.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,1.8
01.08.2024 00:25:22.000 GMT+0100,1.28564,1.28564,1.28562,1.28562,2.7000000000000006
01.08.2024 00:25:23.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,2.7
01.08.2024 00:25:30.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,0.9
01.08.2024 00:25:31.000 GMT+0100,1.28563,1.28563,1.28560,1.28560,6.3
01.08.2024 00:25:32.000 GMT+0100,1.28561,1.28561,1.28561,1.28561,2.7
01.08.2024 00:26:02.000 GMT+0100,1.28559,1.28559,1.28554,1.28554,4.500000000000001
01.08.2024 00:26:12.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,0.9
01.08.2024 00:26:23.000 GMT+0100,1.28555,1.28555,1.28554,1.28554,2.7000000000000006
01.08.2024 00:26:33.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,2.7
01.08.2024 00:26:48.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:27:00.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.7
01.08.2024 00:27:15.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:27:18.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:27:20.000 GMT+0100,1.28556,1.28556,1.28555,1.28555,1.8
01.08.2024 00:27:27.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.7
01.08.2024 00:28:25.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:28:34.000 GMT+0100,1.28557,1.28559,1.28557,1.28559,3.33
01.08.2024 00:28:43.000 GMT+0100,1.28557,1.28558,1.28557,1.28558,2.79
01.08.2024 00:29:27.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:29:35.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:29:36.000 GMT+0100,1.28561,1.28564,1.28561,1.28564,5.49
01.08.2024 00:29:38.000 GMT+0100,1.28564,1.28564,1.28564,1.28564,1.8
01.08.2024 00:29:44.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,1.8
01.08.2024 00:29:45.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,0.9
01.08.2024 00:29:46.000 GMT+0100,1.28563,1.28565,1.28563,1.28565,3.6
01.08.2024 00:30:04.000 GMT+0100,1.28557,1.28557,1.28553,1.28553,2.7000000000000006
01.08.2024 00:30:05.000 GMT+0100,1.28555,1.28555,1.28554,1.28554,2.01
01.08.2024 00:30:09.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.79
01.08.2024 00:30:20.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:30:24.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,1.8
01.08.2024 00:31:09.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,1.8
01.08.2024 00:31:14.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:31:27.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:31:57.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,2.7000000000000006
01.08.2024 00:32:09.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,1.8
01.08.2024 00:32:26.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,0.9
01.08.2024 00:32:47.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,1.89
01.08.2024 00:32:51.000 GMT+0100,1.28553,1.28554,1.28553,1.28554,3.24
01.08.2024 00:32:57.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9900000000000001
01.08.2024 00:32:58.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9900000000000001
01.08.2024 00:33:24.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:33:53.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:34:09.000 GMT+0100,1.28557,1.28558,1.28557,1.28558,6.300000000000001
01.08.2024 00:34:37.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:35:00.000 GMT+0100,1.28552,1.28554,1.28552,1.28554,2.7000000000000006
01.08.2024 00:35:13.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,3.15
01.08.2024 00:35:20.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.7
01.08.2024 00:35:49.000 GMT+0100,1.28555,1.28557,1.28555,1.28557,2.7000000000000006
01.08.2024 00:36:00.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:36:15.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:37:10.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:38:10.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,1.8
01.08.2024 00:38:41.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:38:42.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.25
01.08.2024 00:38:47.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:38:50.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:39:00.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:40:07.000 GMT+0100,1.28555,1.28556,1.28555,1.28556,2.7000000000000006
01.08.2024 00:40:13.000 GMT+0100,1.28555,1.28557,1.28555,1.28557,5.13
01.08.2024 00:40:41.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,2.34
01.08.2024 00:40:48.000 GMT+0100,1.28556,1.28561,1.28556,1.28561,2.7000000000000006
01.08.2024 00:40:49.000 GMT+0100,1.28561,1.28561,1.28560,1.28560,1.8
01.08.2024 00:40:50.000 GMT+0100,1.28560,1.28560,1.28560,1.28560,0.9
01.08.2024 00:40:56.000 GMT+0100,1.28560,1.28560,1.28556,1.28557,2.7000000000000006
01.08.2024 00:41:00.000 GMT+0100,1.28555,1.28556,1.28555,1.28556,4.500000000000001
01.08.2024 00:41:07.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:41:22.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:41:25.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:42:05.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.9800000000000002
01.08.2024 00:42:06.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9900000000000001
01.08.2024 00:42:12.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9900000000000001
01.08.2024 00:42:13.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9900000000000001
01.08.2024 00:42:29.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9900000000000001
01.08.2024 00:42:30.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.9800000000000002
01.08.2024 00:42:33.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,1.8
01.08.2024 00:42:43.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.12
01.08.2024 00:42:44.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.12
01.08.2024 00:42:46.000 GMT+0100,1.28551,1.28551,1.28551,1.28551,0.9
01.08.2024 00:42:50.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.12
01.08.2024 00:43:16.000 GMT+0100,1.28549,1.28549,1.28545,1.28545,2.0100000000000002
01.08.2024 00:43:21.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,0.9900000000000001
01.08.2024 00:43:41.000 GMT+0100,1.28545,1.28545,1.28545,1.28545,0.12
01.08.2024 00:43:46.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,1.8
01.08.2024 00:44:00.000 GMT+0100,1.28546,1.28547,1.28546,1.28547,2.79
01.08.2024 00:44:04.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,4.14
01.08.2024 00:44:05.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:44:09.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:44:11.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:44:14.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:44:19.000 GMT+0100,1.28548,1.28548,1.28547,1.28547,1.8
01.08.2024 00:44:21.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:44:29.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,0.9
01.08.2024 00:44:32.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,1.8900000000000001
01.08.2024 00:44:33.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,0.9900000000000001
01.08.2024 00:44:34.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,1.9800000000000002
01.08.2024 00:44:36.000 GMT+0100,1.28543,1.28543,1.28543,1.28543,0.9
01.08.2024 00:44:43.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,0.9
01.08.2024 00:44:45.000 GMT+0100,1.28543,1.28543,1.28543,1.28543,0.9900000000000001
01.08.2024 00:44:53.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,0.9900000000000001
01.08.2024 00:44:54.000 GMT+0100,1.28539,1.28542,1.28539,1.28542,3.6
01.08.2024 00:44:55.000 GMT+0100,1.28541,1.28541,1.28541,1.28541,0.9
01.08.2024 00:44:56.000 GMT+0100,1.28542,1.28542,1.28541,1.28541,1.8
01.08.2024 00:44:57.000 GMT+0100,1.28538,1.28539,1.28536,1.28536,4.5
01.08.2024 00:44:58.000 GMT+0100,1.28533,1.28535,1.28532,1.28534,7.199999999999999
01.08.2024 00:44:59.000 GMT+0100,1.28535,1.28535,1.28533,1.28533,3.6
01.08.2024 00:45:00.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,1.8
01.08.2024 00:45:01.000 GMT+0100,1.28533,1.28533,1.28532,1.28532,2.7900000000000005
01.08.2024 00:45:02.000 GMT+0100,1.28530,1.28530,1.28526,1.28527,5.58
01.08.2024 00:45:03.000 GMT+0100,1.28528,1.28528,1.28524,1.28525,8.280000000000001
01.08.2024 00:45:04.000 GMT+0100,1.28525,1.28525,1.28524,1.28524,1.8
01.08.2024 00:45:07.000 GMT+0100,1.28528,1.28531,1.28528,1.28531,2.7900000000000005
01.08.2024 00:45:09.000 GMT+0100,1.28531,1.28532,1.28530,1.28532,2.7900000000000005
01.08.2024 00:45:10.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,1.8
01.08.2024 00:45:15.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,0.9
01.08.2024 00:45:17.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,0.9
01.08.2024 00:45:19.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:45:27.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,0.9
01.08.2024 00:45:28.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:45:33.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:45:34.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,0.9
01.08.2024 00:45:38.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:45:39.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:45:44.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:45:46.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,0.9
01.08.2024 00:45:47.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,0.9
01.08.2024 00:45:57.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,0.9
01.08.2024 00:46:04.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:46:08.000 GMT+0100,1.28537,1.28543,1.28537,1.28543,7.199999999999999
01.08.2024 00:46:16.000 GMT+0100,1.28542,1.28542,1.28533,1.28533,4.5
01.08.2024 00:46:25.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:46:40.000 GMT+0100,1.28536,1.28536,1.28536,1.28536,1.8
01.08.2024 00:46:41.000 GMT+0100,1.28534,1.28534,1.28531,1.28531,2.7000000000000006
01.08.2024 00:46:47.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:46:48.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,2.25
01.08.2024 00:46:50.000 GMT+0100,1.28532,1.28533,1.28532,1.28533,3.6
01.08.2024 00:46:55.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:46:59.000 GMT+0100,1.28532,1.28532,1.28532,1.28532,0.9
01.08.2024 00:47:03.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,0.9
01.08.2024 00:47:04.000 GMT+0100,1.28532,1.28532,1.28531,1.28531,2.7000000000000006
01.08.2024 00:47:07.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,0.9
01.08.2024 00:47:08.000 GMT+0100,1.28529,1.28529,1.28529,1.28529,0.9
01.08.2024 00:47:10.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,0.9
01.08.2024 00:47:12.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,0.9
01.08.2024 00:47:13.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,0.9
01.08.2024 00:47:15.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,1.8
01.08.2024 00:47:16.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,0.9
01.08.2024 00:47:17.000 GMT+0100,1.28531,1.28531,1.28531,1.28531,1.8
01.08.2024 00:47:18.000 GMT+0100,1.28530,1.28530,1.28530,1.28530,0.9
01.08.2024 00:47:21.000 GMT+0100,1.28530,1.28530,1.28529,1.28529,2.7000000000000006
01.08.2024 00:47:22.000 GMT+0100,1.28529,1.28529,1.28529,1.28529,0.9
01.08.2024 00:47:23.000 GMT+0100,1.28529,1.28529,1.28529,1.28529,0.9
01.08.2024 00:47:29.000 GMT+0100,1.28529,1.28529,1.28529,1.28529,0.9
01.08.2024 00:47:31.000 GMT+0100,1.28530,1.28530,1.28529,1.28529,1.8
01.08.2024 00:47:33.000 GMT+0100,1.28529,1.28533,1.28529,1.28531,3.6
01.08.2024 00:47:34.000 GMT+0100,1.28529,1.28529,1.28529,1.28529,0.9
01.08.2024 00:47:35.000 GMT+0100,1.28526,1.28526,1.28525,1.28525,1.8
