Local time,Open,High,Low,Close,Volume
01.08.2024 00:15:41.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,1.8
01.08.2024 00:15:44.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:15:49.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:15:59.000 GMT+0100,1.28551,1.28551,1.28548,1.28548,6.3
01.08.2024 00:16:00.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,2.7000000000000006
01.08.2024 00:16:01.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:04.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:06.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:16:10.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:13.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:14.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:16:18.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:19.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:22.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:23.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:26.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:16:27.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:16:36.000 GMT+0100,1.28552,1.28566,1.28552,1.28566,6.3
01.08.2024 00:16:37.000 GMT+0100,1.28565,1.28565,1.28564,1.28564,1.8
01.08.2024 00:16:38.000 GMT+0100,1.28566,1.28568,1.28566,1.28568,5.4
01.08.2024 00:16:48.000 GMT+0100,1.28567,1.28568,1.28567,1.28568,1.8
01.08.2024 00:16:51.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,1.8
01.08.2024 00:16:56.000 GMT+0100,1.28567,1.28568,1.28567,1.28568,1.8
01.08.2024 00:16:57.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,0.9
01.08.2024 00:16:59.000 GMT+0100,1.28568,1.28568,1.28568,1.28568,0.9
01.08.2024 00:17:00.000 GMT+0100,1.28567,1.28569,1.28567,1.28569,1.8
01.08.2024 00:17:01.000 GMT+0100,1.28568,1.28569,1.28568,1.28569,1.8
01.08.2024 00:17:05.000 GMT+0100,1.28572,1.28573,1.28572,1.28573,1.8
01.08.2024 00:17:06.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:17:07.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,0.9
01.08.2024 00:17:09.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:17:13.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,0.9
01.08.2024 00:17:16.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,0.9
01.08.2024 00:17:32.000 GMT+0100,1.28572,1.28572,1.28571,1.28571,3.6
01.08.2024 00:17:33.000 GMT+0100,1.28572,1.28572,1.28572,1.28572,0.9
01.08.2024 00:17:36.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,0.9
01.08.2024 00:17:39.000 GMT+0100,1.28570,1.28570,1.28570,1.28570,0.9
01.08.2024 00:17:41.000 GMT+0100,1.28570,1.28570,1.28570,1.28570,0.9
01.08.2024 00:17:42.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,0.9
01.08.2024 00:17:44.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,0.9
01.08.2024 00:17:46.000 GMT+0100,1.28570,1.28570,1.28570,1.28570,0.9
01.08.2024 00:17:50.000 GMT+0100,1.28570,1.28570,1.28570,1.28570,0.9
01.08.2024 00:17:56.000 GMT+0100,1.28567,1.28567,1.28564,1.28564,6.3
01.08.2024 00:17:57.000 GMT+0100,1.28564,1.28564,1.28564,1.28564,0.9
01.08.2024 00:17:58.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,0.9
01.08.2024 00:18:13.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,1.8
01.08.2024 00:18:35.000 GMT+0100,1.28564,1.28564,1.28564,1.28564,0.9
01.08.2024 00:18:36.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,0.9
01.08.2024 00:18:38.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,0.9
01.08.2024 00:18:48.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,0.9
01.08.2024 00:19:20.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,0.9
01.08.2024 00:20:20.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,0.9
01.08.2024 00:20:21.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,0.9
01.08.2024 00:20:30.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,1.8
01.08.2024 00:20:42.000 GMT+0100,1.28566,1.28570,1.28566,1.28570,2.7000000000000006
01.08.2024 00:20:47.000 GMT+0100,1.28571,1.28571,1.28571,1.28571,1.8
01.08.2024 00:20:57.000 GMT+0100,1.28572,1.28572,1.28572,1.28572,0.9
01.08.2024 00:21:20.000 GMT+0100,1.28572,1.28572,1.28572,1.28572,0.9
01.08.2024 00:21:30.000 GMT+0100,1.28572,1.28572,1.28572,1.28572,0.9
01.08.2024 00:22:00.000 GMT+0100,1.28573,1.28573,1.28573,1.28573,0.9
01.08.2024 00:22:20.000 GMT+0100,1.28574,1.28574,1.28574,1.28574,0.9
01.08.2024 00:22:57.000 GMT+0100,1.28573,1.28573,1.28572,1.28572,3.6
01.08.2024 00:23:08.000 GMT+0100,1.28570,1.28570,1.28565,1.28565,8.1
01.08.2024 00:23:09.000 GMT+0100,1.28567,1.28567,1.28567,1.28567,0.9
01.08.2024 00:23:42.000 GMT+0100,1.28565,1.28567,1.28565,1.28567,1.8
01.08.2024 00:23:52.000 GMT+0100,1.28567,1.28567,1.28567,1.28567,0.9
01.08.2024 00:24:00.000 GMT+0100,1.28566,1.28566,1.28566,1.28566,1.8
01.08.2024 00:24:16.000 GMT+0100,1.28566,1.28567,1.28566,1.28567,1.8
01.08.2024 00:24:17.000 GMT+0100,1.28565,1.28565,1.28565,1.28565,1.8
01.08.2024 00:24:19.000 GMT+0100,1.28564,1.28564,1.28564,1.28564,1.8
01.08.2024 00:25:14.000 GMT+0100,1.28563,1.28563,1.28563,1.28563,0.9
01.08.2024 00:25:17.000 GMT+0100,1.28564,1.28564,1.28560,1.28560,2.7000000000000006
01.08.2024 00:25:18.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:25:20.000 GMT+0100,1.28558,1.28558,1.28558,1.28558,0.9
01.08.2024 00:25:22.000 GMT+0100,1.28555,1.28556,1.28555,1.28556,1.8
01.08.2024 00:25:23.000 GMT+0100,1.28556,1.28556,1.28556,1.28556,0.9
01.08.2024 00:25:30.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,0.9
01.08.2024 00:25:31.000 GMT+0100,1.28556,1.28556,1.28554,1.28554,2.7000000000000006
01.08.2024 00:25:32.000 GMT+0100,1.28554,1.28554,1.28554,1.28554,0.9
01.08.2024 00:26:02.000 GMT+0100,1.28553,1.28553,1.28547,1.28547,11.7
01.08.2024 00:26:12.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:26:23.000 GMT+0100,1.28546,1.28548,1.28546,1.28548,1.8
01.08.2024 00:26:33.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:26:48.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:27:00.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:27:15.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:27:18.000 GMT+0100,1.28551,1.28551,1.28551,1.28551,0.9
01.08.2024 00:27:20.000 GMT+0100,1.28550,1.28550,1.28549,1.28549,1.8
01.08.2024 00:27:27.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:28:25.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:28:34.000 GMT+0100,1.28551,1.28551,1.28550,1.28550,1.8
01.08.2024 00:28:43.000 GMT+0100,1.28551,1.28551,1.28551,1.28551,1.8
01.08.2024 00:29:27.000 GMT+0100,1.28551,1.28551,1.28551,1.28551,0.9
01.08.2024 00:29:35.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,1.8
01.08.2024 00:29:36.000 GMT+0100,1.28555,1.28555,1.28555,1.28555,1.8
01.08.2024 00:29:38.000 GMT+0100,1.28558,1.28558,1.28558,1.28558,0.9
01.08.2024 00:29:44.000 GMT+0100,1.28557,1.28557,1.28557,1.28557,0.9
01.08.2024 00:29:45.000 GMT+0100,1.28559,1.28559,1.28559,1.28559,0.9
01.08.2024 00:29:46.000 GMT+0100,1.28557,1.28558,1.28557,1.28558,2.7000000000000006
01.08.2024 00:30:04.000 GMT+0100,1.28549,1.28549,1.28548,1.28548,11.7
01.08.2024 00:30:05.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,3.6
01.08.2024 00:30:09.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:30:20.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:30:24.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,1.8
01.08.2024 00:31:09.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,1.8
01.08.2024 00:31:14.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:31:27.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,1.8
