20240820 013600;1.107620;1.107640;1.107610;1.107630;0
20240820 013700;1.107640;1.107660;1.107640;1.107660;0
20240820 013800;1.107650;1.107650;1.107630;1.107640;0
20240820 013900;1.107640;1.107670;1.107640;1.107650;0
20240820 014000;1.107650;1.107650;1.107560;1.107560;0
20240820 014100;1.107570;1.107650;1.107540;1.107650;0
20240820 014200;1.107650;1.107650;1.107530;1.107540;0
20240820 014300;1.107550;1.107560;1.107510;1.107520;0
20240820 014400;1.107510;1.107510;1.107470;1.107490;0
20240820 014500;1.107480;1.107500;1.107450;1.107490;0
20240820 014600;1.107500;1.107500;1.107290;1.107340;0
20240820 014700;1.107350;1.107420;1.107340;1.107340;0
20240820 014800;1.107370;1.107390;1.107340;1.107340;0
20240820 014900;1.107370;1.107370;1.107330;1.107350;0
20240820 015000;1.107340;1.107390;1.107340;1.107350;0
20240820 015100;1.107340;1.107450;1.107340;1.107440;0
20240820 015200;1.107440;1.107440;1.107430;1.107440;0
20240820 015300;1.107440;1.107490;1.107440;1.107470;0
20240820 015400;1.107460;1.107490;1.107450;1.107490;0
20240820 015500;1.107490;1.107550;1.107490;1.107540;0
20240820 015600;1.107550;1.107650;1.107530;1.107610;0
20240820 015700;1.107600;1.107650;1.107590;1.107620;0
20240820 015800;1.107630;1.107630;1.107570;1.107590;0
20240820 015900;1.107600;1.107660;1.107570;1.107650;0
20240820 020000;1.107660;1.107790;1.107610;1.107680;0
20240820 020100;1.107690;1.107750;1.107690;1.107750;0
20240820 020200;1.107750;1.107790;1.107670;1.107730;0
20240820 020300;1.107720;1.107720;1.107630;1.107660;0
20240820 020400;1.107650;1.107670;1.107600;1.107670;0
20240820 020500;1.107660;1.107670;1.107430;1.107450;0
20240820 020600;1.107450;1.107530;1.107440;1.107490;0
20240820 020700;1.107480;1.107500;1.107430;1.107440;0
20240820 020800;1.107440;1.107530;1.107430;1.107510;0
20240820 020900;1.107510;1.107620;1.107510;1.107620;0
20240820 021000;1.107630;1.107640;1.107530;1.107550;0
20240820 021100;1.107560;1.107560;1.107480;1.107490;0
20240820 021200;1.107480;1.107650;1.107480;1.107640;0
20240820 021300;1.107630;1.107630;1.107540;1.107590;0
20240820 021400;1.107600;1.107600;1.107480;1.107540;0
20240820 021500;1.107550;1.107600;1.107480;1.107490;0
20240820 021600;1.107480;1.107490;1.107440;1.107450;0
20240820 021700;1.107450;1.107510;1.107450;1.107500;0
20240820 021800;1.107490;1.107530;1.107450;1.107500;0
20240820 021900;1.107500;1.107630;1.107490;1.107600;0
20240820 022000;1.107590;1.107640;1.107590;1.107620;0
20240820 022100;1.107630;1.107710;1.107620;1.107700;0
20240820 022200;1.107720;1.107760;1.107680;1.107690;0
20240820 022300;1.107690;1.107700;1.107640;1.107640;0
20240820 022400;1.107640;1.107650;1.107600;1.107650;0
20240820 022500;1.107660;1.107680;1.107610;1.107650;0
20240820 022600;1.107640;1.107650;1.107640;1.107650;0
20240820 022700;1.107690;1.107740;1.107690;1.107700;0
20240820 022800;1.107690;1.107750;1.107690;1.107740;0
20240820 022900;1.107740;1.107810;1.107720;1.107790;0
20240820 023000;1.107780;1.107890;1.107780;1.107870;0
20240820 023100;1.107870;1.107970;1.107860;1.107950;0
20240820 023200;1.107950;1.107960;1.107860;1.107880;0
20240820 023300;1.107880;1.107920;1.107860;1.107860;0
20240820 023400;1.107850;1.107890;1.107810;1.107880;0
20240820 023500;1.107880;1.107950;1.107860;1.107920;0
20240820 023600;1.107920;1.107940;1.107870;1.107900;0
20240820 023700;1.107900;1.107920;1.107850;1.107900;0
20240820 023800;1.107910;1.107940;1.107880;1.107900;0
20240820 023900;1.107890;1.107930;1.107890;1.107900;0
20240820 024000;1.107900;1.108010;1.107870;1.108010;0
20240820 024100;1.108010;1.108170;1.108010;1.108160;0
20240820 024200;1.108160;1.108200;1.108100;1.108110;0
20240820 024300;1.108120;1.108130;1.107980;1.108040;0
20240820 024400;1.108040;1.108120;1.108000;1.108090;0
20240820 024500;1.108100;1.108200;1.108080;1.108200;0
20240820 024600;1.108190;1.108200;1.108070;1.108080;0
20240820 024700;1.108070;1.108070;1.107930;1.107980;0
20240820 024800;1.107970;1.107990;1.107850;1.107850;0
20240820 024900;1.107840;1.107870;1.107790;1.107870;0
20240820 025000;1.107870;1.107930;1.107790;1.107800;0
20240820 025100;1.107800;1.107910;1.107790;1.107910;0
20240820 025200;1.107920;1.107920;1.107860;1.107860;0
20240820 025300;1.107850;1.107980;1.107840;1.107950;0
20240820 025400;1.107940;1.107940;1.107890;1.107900;0
20240820 025500;1.107910;1.108090;1.107910;1.108090;0
20240820 025600;1.108090;1.108200;1.108070;1.108170;0
20240820 025700;1.108160;1.108170;1.108060;1.108060;0
20240820 025800;1.108060;1.108200;1.108050;1.108200;0
20240820 025900;1.108190;1.108200;1.108090;1.108100;0
20240820 030000;1.108100;1.108220;1.108030;1.108210;0
20240820 030100;1.108220;1.108300;1.108090;1.108120;0
20240820 030200;1.108130;1.108190;1.108090;1.108110;0
20240820 030300;1.108110;1.108160;1.108010;1.108150;0
20240820 030400;1.108160;1.108170;1.108050;1.108050;0
20240820 030500;1.108050;1.108050;1.107860;1.107900;0
20240820 030600;1.107900;1.107910;1.107740;1.107770;0
20240820 030700;1.107760;1.107760;1.107650;1.107700;0
20240820 030800;1.107720;1.107840;1.107700;1.107740;0
20240820 030900;1.107760;1.107760;1.107640;1.107650;0
20240820 031000;1.107660;1.107730;1.107640;1.107650;0
20240820 031100;1.107640;1.107660;1.107590;1.107640;0
20240820 031200;1.107650;1.107650;1.107630;1.107650;0
20240820 031300;1.107640;1.107750;1.107640;1.107750;0
20240820 031400;1.107750;1.107890;1.107690;1.107860;0
20240820 031500;1.107870;1.107940;1.107840;1.107870;0
20240820 031600;1.107860;1.107910;1.107750;1.107750;0
20240820 031700;1.107740;1.107810;1.107660;1.107800;0
20240820 031800;1.107810;1.107820;1.107690;1.107700;0
20240820 031900;1.107690;1.107720;1.107590;1.107600;0
20240820 032000;1.107610;1.107610;1.107500;1.107510;0
20240820 032100;1.107530;1.107590;1.107500;1.107540;0
20240820 032200;1.107530;1.107550;1.107400;1.107490;0
20240820 032300;1.107480;1.107520;1.107430;1.107450;0
20240820 032400;1.107460;1.107460;1.107340;1.107350;0
20240820 032500;1.107360;1.107510;1.107350;1.107450;0
20240820 032600;1.107440;1.107440;1.107380;1.107420;0
20240820 032700;1.107410;1.107480;1.107350;1.107360;0
20240820 032800;1.107370;1.107370;1.107330;1.107350;0
20240820 032900;1.107350;1.107400;1.107340;1.107350;0
20240820 033000;1.107360;1.107450;1.107340;1.107420;0
20240820 033100;1.107410;1.107430;1.107310;1.107340;0
20240820 033200;1.107350;1.107410;1.107330;1.107340;0
20240820 033300;1.107330;1.107350;1.107290;1.107300;0
20240820 033400;1.107290;1.107300;1.107190;1.107220;0
20240820 033500;1.107240;1.107270;1.107190;1.107230;0
20240820 033600;1.107240;1.107260;1.107210;1.107250;0
20240820 033700;1.107260;1.107570;1.107260;1.107570;0
20240820 033800;1.107560;1.107610;1.107520;1.107570;0
20240820 033900;1.107580;1.107720;1.107550;1.107720;0
20240820 034000;1.107720;1.107820;1.107700;1.107800;0
20240820 034100;1.107790;1.107790;1.107640;1.107650;0
20240820 034200;1.107640;1.107650;1.107330;1.107380;0
20240820 034300;1.107370;1.107500;1.107320;1.107420;0
20240820 034400;1.107430;1.107540;1.107430;1.107520;0
20240820 034500;1.107520;1.107640;1.107520;1.107540;0
20240820 034600;1.107570;1.107570;1.107360;1.107430;0
20240820 034700;1.107420;1.107570;1.107420;1.107500;0
20240820 034800;1.107510;1.107610;1.107500;1.107550;0
20240820 034900;1.107580;1.107610;1.107410;1.107560;0
20240820 035000;1.107550;1.107670;1.107550;1.107670;0
20240820 035100;1.107680;1.107820;1.107680;1.107820;0
20240820 035200;1.107810;1.107910;1.107810;1.107910;0
20240820 035300;1.107900;1.107980;1.107900;1.107970;0
20240820 035400;1.107970;1.107990;1.107920;1.107990;0
20240820 035500;1.107980;1.108090;1.107970;1.108080;0
20240820 035600;1.108090;1.108340;1.108090;1.108330;0
20240820 035700;1.108330;1.108500;1.108330;1.108480;0
20240820 035800;1.108480;1.108700;1.108480;1.108670;0
20240820 035900;1.108670;1.108700;1.108580;1.108660;0
20240820 040000;1.108680;1.108770;1.108640;1.108770;0
20240820 040100;1.108780;1.108790;1.108610;1.108620;0
20240820 040200;1.108620;1.108620;1.108440;1.108510;0
20240820 040300;1.108510;1.108750;1.108500;1.108680;0
20240820 040400;1.108670;1.108680;1.108500;1.108540;0
20240820 040500;1.108550;1.108880;1.108500;1.108770;0
20240820 040600;1.108780;1.108810;1.108710;1.108730;0
20240820 040700;1.108720;1.108730;1.108650;1.108670;0
20240820 040800;1.108680;1.108680;1.108510;1.108650;0
20240820 040900;1.108670;1.108720;1.108600;1.108660;0
20240820 041000;1.108660;1.108750;1.108610;1.108670;0
20240820 041100;1.108670;1.108720;1.108660;1.108670;0
20240820 041200;1.108670;1.108690;1.108620;1.108680;0
20240820 041300;1.108660;1.108660;1.108510;1.108520;0
20240820 041400;1.108530;1.108650;1.108450;1.108480;0
20240820 041500;1.108470;1.108500;1.108370;1.108420;0
20240820 041600;1.108420;1.108420;1.108300;1.108370;0
20240820 041700;1.108370;1.108380;1.108250;1.108280;0
20240820 041800;1.108300;1.108370;1.108250;1.108370;0
20240820 041900;1.108370;1.108370;1.108250;1.108250;0
20240820 042000;1.108260;1.108260;1.108090;1.108170;0
20240820 042100;1.108170;1.108250;1.108170;1.108190;0
20240820 042200;1.108170;1.108220;1.108060;1.108070;0
20240820 042300;1.108060;1.108200;1.108060;1.108100;0
20240820 042400;1.108100;1.108210;1.108100;1.108190;0
20240820 042500;1.108190;1.108190;1.107970;1.108010;0
20240820 042600;1.107990;1.108030;1.107830;1.107840;0
20240820 042700;1.107840;1.107870;1.107770;1.107870;0
20240820 042800;1.107860;1.108020;1.107860;1.108000;0
20240820 042900;1.108000;1.108030;1.107850;1.107850;0
20240820 043000;1.107840;1.107980;1.107830;1.107960;0
20240820 043100;1.107970;1.108120;1.107970;1.108070;0
20240820 043200;1.108080;1.108220;1.108060;1.108220;0
20240820 043300;1.108230;1.108300;1.108200;1.108260;0
20240820 043400;1.108260;1.108400;1.108250;1.108400;0
20240820 043500;1.108400;1.108520;1.108390;1.108520;0
20240820 043600;1.108500;1.108620;1.108470;1.108500;0
20240820 043700;1.108510;1.108600;1.108500;1.108500;0
20240820 043800;1.108510;1.108750;1.108500;1.108740;0
20240820 043900;1.108730;1.108740;1.108680;1.108720;0
20240820 044000;1.108720;1.108720;1.108570;1.108610;0
20240820 044100;1.108620;1.108630;1.108540;1.108630;0
20240820 044200;1.108620;1.108690;1.108620;1.108680;0
20240820 044300;1.108660;1.108700;1.108550;1.108700;0
20240820 044400;1.108710;1.108710;1.108540;1.108570;0
20240820 044500;1.108560;1.108600;1.108510;1.108600;0
20240820 044600;1.108620;1.108630;1.108570;1.108630;0
20240820 044700;1.108640;1.108640;1.108570;1.108630;0
20240820 044800;1.108630;1.108630;1.108510;1.108520;0
20240820 044900;1.108540;1.108540;1.108460;1.108480;0
20240820 045000;1.108460;1.108460;1.108260;1.108350;0
20240820 045100;1.108360;1.108370;1.108280;1.108280;0
20240820 045200;1.108270;1.108290;1.108200;1.108200;0
20240820 045300;1.108190;1.108290;1.108190;1.108240;0
20240820 045400;1.108220;1.108270;1.108180;1.108260;0
20240820 045500;1.108270;1.108270;1.108170;1.108250;0
20240820 045600;1.108260;1.108280;1.108240;1.108260;0
20240820 045700;1.108270;1.108290;1.108170;1.108170;0
20240820 045800;1.108180;1.108200;1.107990;1.107990;0
20240820 045900;1.107990;1.108020;1.107930;1.107950;0
